Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag",Location 1,Location 2
UTAH,2016,14,,-,0,,0,,,-,,-,,-,6,,26,,19,,171,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
OREGON,2016,14,,-,0,,2,,1,,,-,,-,8,,28,,37,,147,,,-,0,,4,,,-,,-,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2016,14,,-,0,,17,,4,,1,,,-,13,,28,,196,,174,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2016,14,,-,0,,1,,3,,,-,,-,3,,20,,57,,133,,,-,1,,6,,17,,4,,"MAINE
(45.252223, -68.986647)",
KANSAS,2016,14,,-,0,,2,,6,,,-,,-,5,,18,,8,,134,,1,,1,,6,,14,,32,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2016,14,,-,0,,1,,,-,2,,,-,1,,7,,12,,8,,,-,0,,7,,5,,20,,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2016,14,,-,0,,4,,17,,2,,,-,6,,15,,44,,165,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
VERMONT,2016,14,,-,0,,1,,,-,,-,,-,0,,6,,23,,2,,,-,0,,2,,8,,2,,"VERMONT
(43.622479, -72.51927)",
ALASKA,2016,14,,-,0,,0,,,-,,-,1,,2,,10,,36,,37,,,-,0,,3,,8,,1,,"ALASKA
(64.836661, -147.738891)",
INDIANA,2016,14,,-,0,,6,,7,,,-,,-,4,,9,,36,,48,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2016,14,,-,0,,1,,,-,,-,1,,0,,5,,7,,7,,,-,0,,2,,3,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2016,14,,-,0,,8,,18,,1,,,-,6,,28,,36,,144,,,-,7,,12,,52,,72,,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2016,14,1,,0,,2,,8,,13,,6,,14,,34,,260,,271,,,-,0,,5,,2,,8,,"OHIO
(40.056807, -82.405897)",
WYOMING,2016,14,,-,0,,0,,,-,,-,,-,0,,4,,3,,6,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2016,14,,-,0,,1,,1,,3,,5,,4,,27,,171,,31,,,-,0,,2,,1,,3,,"KENTUCKY
(37.64591, -84.774043)",
NORTH DAKOTA,2016,14,1,,0,,3,,6,,,-,,-,0,,4,,1,,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ILLINOIS,2016,14,,-,8,,33,,127,,10,,,-,14,,30,,137,,144,,,-,1,,18,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
TENNESSEE,2016,14,,-,0,,1,,1,,2,,1,,2,,8,,27,,82,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2016,14,,-,0,,1,,2,,,-,,-,1,,4,,10,,7,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
SOUTH CAROLINA,2016,14,,-,0,,1,,2,,,-,1,,2,,17,,28,,42,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2016,14,,-,0,,0,,,-,,-,,-,1,,8,,,-,37,,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2016,14,2,,0,,5,,14,,3,,19,,28,,112,,217,,266,,12,,15,,70,,120,,193,,"TEXAS
(31.827233, -99.423022)",
UNITED STATES,2016,15,7,,31,,75,,643,,122,,110,,338,,543,,3460,,6464,,53,,66,,125,,525,,866,,,
NEW ENGLAND,2016,15,,-,0,,18,,58,,,-,3,,12,,26,,139,,248,,4,,5,,13,,68,,48,,,
MID. ATLANTIC,2016,15,3,,2,,12,,22,,30,,25,,47,,77,,731,,598,,24,,14,,33,,138,,173,,,
NEW YORK CITY,2016,15,,-,1,,10,,8,,12,,,-,8,,22,,73,,57,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,15,2,,12,,46,,199,,26,,20,,56,,92,,745,,816,,,-,1,,18,,3,,10,,,
W.N. CENTRAL,2016,15,,-,8,,38,,280,,5,,2,,23,,47,,166,,779,,3,,2,,9,,22,,51,,,
S. ATLANTIC,2016,15,,-,1,,8,,28,,31,,6,,29,,69,,284,,482,,4,,13,,31,,87,,239,,,
DIST. OF COL.,2016,15,,-,0,,0,,,-,,-,1,,0,,2,,5,,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,15,,-,0,,3,,7,,5,,13,,11,,34,,269,,180,,1,,2,,6,,22,,26,,,
W.S. CENTRAL,2016,15,1,,0,,6,,16,,7,,15,,32,,117,,265,,358,,17,,19,,71,,164,,264,,,
MOUNTAIN,2016,15,1,,0,,6,,26,,11,,14,,42,,83,,469,,1044,,,-,1,,6,,1,,1,,,
PACIFIC,2016,15,,-,0,,3,,7,,7,,12,,54,,229,,392,,1959,,,-,4,,13,,20,,54,,,
AMER. SAMOA,2016,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH DAKOTA,2016,15,,-,0,,0,,,-,,-,,-,0,,2,,5,,4,,,-,0,,2,,3,,9,,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2016,15,,-,0,,1,,4,,2,,4,,7,,14,,103,,100,,,-,0,,8,,17,,84,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2016,15,,-,0,,0,,,-,,-,,-,3,,10,,26,,63,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MASSACHUSETTS,2016,15,,-,0,,16,,40,,,-,,-,4,,13,,18,,61,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2016,15,,-,0,,0,,,-,,-,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2016,15,,-,0,,1,,,-,,-,,-,3,,13,,25,,68,,,-,0,,1,,1,,,-,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2016,15,,-,0,,1,,1,,2,,2,,2,,8,,30,,84,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2016,15,,-,0,,1,,,-,7,,,-,2,,13,,21,,74,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2016,15,,-,0,,1,,1,,2,,,-,0,,1,,2,,5,,,-,0,,2,,,-,4,,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2016,15,,-,0,,0,,,-,,-,,-,2,,10,,37,,44,,,-,0,,3,,8,,2,,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,15,,-,0,,8,,18,,1,,,-,6,,28,,36,,150,,4,,7,,12,,60,,76,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2016,15,1,,0,,3,,8,,4,,10,,17,,26,,242,,322,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2016,15,,-,0,,1,,1,,,-,2,,3,,8,,55,,61,,1,,1,,6,,21,,23,,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2016,15,,-,0,,5,,,-,3,,,-,2,,7,,22,,48,,,-,4,,20,,4,,70,,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2016,15,,-,0,,1,,3,,,-,4,,9,,30,,141,,222,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2016,15,,-,0,,2,,4,,23,,,-,5,,35,,47,,54,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2016,15,,-,0,,4,,17,,2,,,-,8,,27,,71,,165,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
RHODE ISLAND,2016,15,,-,0,,1,,,-,,-,,-,0,,5,,7,,7,,,-,0,,2,,3,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2016,15,1,,0,,5,,16,,3,,14,,28,,113,,234,,304,,17,,16,,70,,148,,220,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2016,15,,-,0,,3,,7,,,-,,-,0,,4,,2,,6,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2016,15,,-,0,,0,,,-,1,,,-,0,,9,,,-,12,,,-,0,,23,,11,,24,,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2016,15,,-,0,,1,,2,,,-,,-,1,,4,,10,,9,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2016,15,,-,0,,0,,,-,,-,,-,6,,26,,33,,185,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2016,15,,-,0,,1,,,-,2,,1,,1,,7,,14,,10,,,-,0,,7,,5,,20,,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2016,15,,-,0,,1,,4,,,-,1,,3,,15,,58,,148,,2,,1,,6,,19,,5,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2016,15,,-,0,,1,,1,,,-,2,,4,,13,,64,,368,,,-,0,,5,,2,,6,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2016,15,3,,0,,4,,11,,6,,16,,12,,48,,207,,175,,24,,7,,33,,138,,66,,"NEW YORK
(42.826892, -75.544286)",
NEW JERSEY,2016,15,,-,0,,2,,2,,6,,,-,8,,18,,90,,91,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2016,15,,-,0,,1,,,-,,-,2,,1,,8,,35,,4,,1,,0,,2,,9,,2,,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2016,15,,-,8,,33,,128,,11,,,-,14,,30,,149,,148,,,-,1,,18,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2016,15,,-,0,,2,,1,,6,,9,,19,,35,,361,,275,,,-,6,,26,,,-,107,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2016,15,,-,0,,3,,7,,,-,,-,1,,4,,13,,21,,1,,3,,12,,33,,34,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2016,15,,-,0,,0,,,-,,-,,-,1,,8,,,-,40,,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2016,15,,-,0,,5,,7,,,-,,-,1,,3,,8,,7,,,-,0,,2,,4,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DELAWARE,2016,15,,-,0,,1,,,-,1,,,-,0,,3,,6,,3,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2016,15,,-,0,,0,,,-,1,,,-,1,,7,,8,,20,,,-,0,,3,,6,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2016,15,,-,0,,0,,,-,,-,,-,0,,4,,3,,7,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
IOWA,2016,15,,-,7,,33,,249,,2,,,-,2,,7,,16,,49,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
GUAM,2016,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2016,15,,-,0,,2,,1,,,-,,-,8,,28,,38,,160,,,-,0,,4,,,-,,-,"OREGON
(44.567912, -120.156945)",
MONTANA,2016,15,,-,0,,6,,15,,,-,,-,1,,18,,4,,126,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2016,15,,-,0,,2,,4,,4,,,-,35,,120,,195,,1470,,,-,3,,11,,12,,52,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2016,15,,-,0,,3,,5,,3,,9,,4,,27,,183,,32,,,-,0,,2,,1,,3,,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2016,15,,-,0,,3,,,-,3,,12,,13,,118,,112,,276,,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,15,,-,0,,1,,,-,1,,,-,2,,8,,17,,32,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2016,15,,-,0,,1,,2,,,-,1,,2,,17,,31,,43,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2016,15,,-,0,,12,,52,,,-,,-,4,,9,,38,,47,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WISCONSIN,2016,15,,-,0,,17,,4,,1,,,-,13,,28,,196,,186,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2016,15,2,,0,,2,,10,,13,,18,,14,,34,,278,,281,,,-,0,,5,,2,,8,,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2016,15,,-,0,,2,,5,,1,,2,,8,,25,,84,,154,,,-,0,,4,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2016,15,,-,0,,2,,6,,,-,,-,4,,18,,8,,137,,3,,1,,6,,17,,36,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2016,15,,-,0,,0,,,-,1,,,-,0,,0,,,-,50,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
UNITED STATES,2016,16,8,,33,,75,,727,,130,,91,,331,,545,,3754,,6864,,27,,66,,126,,564,,955,,,
NEW ENGLAND,2016,16,1,,0,,19,,77,,,-,,-,12,,26,,145,,253,,3,,5,,13,,73,,55,,,
MID. ATLANTIC,2016,16,,-,2,,12,,23,,32,,11,,48,,77,,788,,635,,11,,15,,33,,149,,192,,,
NEW YORK CITY,2016,16,,-,1,,10,,9,,13,,,-,8,,22,,78,,62,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,16,4,,12,,46,,232,,28,,13,,56,,92,,824,,867,,,-,1,,18,,3,,12,,,
W.N. CENTRAL,2016,16,1,,8,,38,,300,,5,,3,,23,,47,,169,,797,,1,,2,,10,,28,,55,,,
S. ATLANTIC,2016,16,1,,1,,8,,30,,33,,7,,29,,70,,314,,505,,,-,13,,31,,89,,251,,,
DIST. OF COL.,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,5,,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,16,,-,0,,3,,8,,6,,7,,11,,34,,296,,183,,,-,2,,6,,22,,27,,,
W.S. CENTRAL,2016,16,,-,0,,6,,18,,7,,17,,30,,117,,286,,381,,10,,19,,71,,177,,304,,,
MOUNTAIN,2016,16,1,,0,,6,,27,,12,,14,,42,,83,,491,,1125,,,-,1,,6,,1,,2,,,
PACIFIC,2016,16,,-,1,,3,,12,,7,,19,,53,,231,,441,,2118,,2,,3,,12,,22,,57,,,
AMER. SAMOA,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
LOUISIANA,2016,16,,-,0,,1,,,-,1,,1,,2,,8,,18,,32,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2016,16,3,,0,,2,,13,,13,,12,,15,,34,,290,,298,,,-,0,,5,,2,,8,,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2016,16,,-,0,,8,,19,,1,,,-,6,,31,,54,,150,,,-,7,,12,,60,,80,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,16,,-,0,,17,,54,,,-,,-,4,,13,,19,,62,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2016,16,,-,0,,2,,1,,6,,8,,19,,36,,385,,288,,,-,6,,26,,,-,120,,"PENNSYLVANIA
(40.789676, -77.858055)",
IOWA,2016,16,1,,7,,33,,267,,2,,,-,2,,7,,16,,51,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2016,16,,-,0,,3,,5,,3,,6,,5,,27,,206,,33,,,-,0,,2,,1,,3,,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2016,16,,-,0,,1,,3,,,-,,-,9,,30,,145,,234,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2016,16,,-,0,,1,,4,,3,,5,,7,,14,,108,,108,,,-,0,,10,,19,,84,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2016,16,,-,0,,12,,61,,,-,,-,4,,9,,40,,50,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2016,16,1,,8,,33,,149,,13,,,-,14,,30,,169,,163,,,-,1,,18,,,-,3,,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2016,16,,-,0,,0,,,-,1,,,-,0,,0,,,-,50,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,16,,-,0,,1,,,-,,-,,-,0,,5,,7,,7,,,-,0,,2,,3,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2016,16,,-,0,,5,,,-,3,,1,,2,,7,,25,,50,,,-,4,,20,,4,,77,,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2016,16,,-,0,,1,,,-,,-,,-,1,,8,,36,,4,,2,,0,,3,,13,,2,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2016,16,,-,0,,1,,1,,,-,3,,3,,13,,67,,376,,,-,0,,5,,2,,6,,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2016,16,,-,0,,6,,15,,,-,,-,1,,18,,4,,131,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2016,16,,-,0,,2,,,-,3,,16,,12,,118,,128,,276,,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2016,16,,-,0,,1,,2,,2,,1,,2,,8,,33,,85,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2016,16,,-,0,,1,,2,,,-,,-,2,,17,,32,,45,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2016,16,,-,0,,1,,1,,2,,,-,0,,1,,2,,5,,,-,0,,2,,,-,4,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2016,16,1,,0,,2,,5,,24,,1,,5,,35,,49,,60,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2016,16,,-,0,,0,,,-,,-,,-,0,,4,,3,,7,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
COLORADO,2016,16,1,,0,,3,,9,,4,,13,,17,,26,,255,,344,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MAINE,2016,16,,-,0,,1,,4,,,-,,-,3,,10,,58,,152,,1,,1,,6,,20,,6,,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,16,,-,0,,5,,7,,,-,,-,1,,3,,11,,7,,,-,0,,2,,4,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2016,16,,-,0,,2,,9,,4,,3,,35,,121,,218,,1597,,,-,2,,11,,12,,55,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2016,16,,-,0,,0,,,-,,-,,-,0,,8,,,-,46,,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2016,16,,-,0,,1,,,-,,-,,-,3,,13,,25,,69,,,-,0,,1,,1,,1,,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2016,16,,-,0,,5,,18,,3,,16,,27,,113,,254,,326,,9,,16,,70,,160,,252,,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2016,16,,-,0,,2,,2,,7,,,-,8,,22,,115,,103,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,16,,-,0,,1,,,-,1,,,-,0,,3,,6,,3,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2016,16,,-,0,,4,,11,,6,,3,,12,,48,,210,,182,,11,,7,,33,,149,,72,,"NEW YORK
(42.826892, -75.544286)",
GUAM,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2016,16,,-,0,,1,,2,,,-,,-,1,,4,,12,,13,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2016,16,,-,0,,2,,6,,,-,,-,4,,18,,8,,140,,,-,1,,7,,22,,39,,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2016,16,,-,0,,0,,,-,1,,,-,0,,9,,,-,12,,1,,0,,23,,12,,25,,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2016,16,,-,0,,0,,,-,,-,,-,3,,10,,26,,67,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2016,16,,-,0,,2,,5,,1,,,-,8,,25,,87,,159,,,-,0,,4,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2016,16,,-,0,,2,,1,,,-,,-,7,,28,,45,,178,,2,,0,,4,,2,,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2016,16,,-,0,,0,,,-,1,,,-,1,,7,,9,,21,,,-,0,,3,,6,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2016,16,1,,0,,4,,12,,,-,,-,1,,4,,14,,21,,,-,3,,12,,33,,40,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2016,16,,-,0,,0,,,-,,-,,-,6,,26,,37,,211,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
ALABAMA,2016,16,,-,0,,1,,1,,1,,,-,3,,8,,56,,62,,,-,1,,6,,21,,24,,"ALABAMA
(32.839182, -86.631125)",
WISCONSIN,2016,16,,-,0,,17,,4,,1,,1,,14,,29,,238,,197,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2016,16,,-,0,,4,,17,,2,,,-,8,,27,,71,,170,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
NORTH DAKOTA,2016,16,,-,0,,3,,9,,,-,,-,0,,4,,2,,6,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2016,16,,-,0,,1,,,-,8,,1,,2,,13,,22,,83,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,5,,4,,1,,0,,2,,4,,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2016,16,,-,0,,0,,,-,,-,,-,1,,10,,38,,54,,,-,0,,3,,8,,2,,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,16,,-,0,,1,,,-,2,,,-,1,,7,,14,,11,,,-,0,,7,,5,,27,,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2016,17,35,,38,,75,,858,,145,,108,,333,,556,,4045,,7285,,58,,66,,126,,649,,1047,,,
NEW ENGLAND,2016,17,8,,0,,23,,117,,,-,,-,12,,26,,155,,266,,4,,5,,13,,78,,62,,,
MID. ATLANTIC,2016,17,,-,2,,12,,24,,35,,14,,52,,91,,826,,664,,24,,14,,33,,173,,222,,,
NEW YORK CITY,2016,17,,-,1,,10,,9,,14,,,-,8,,22,,82,,69,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,17,24,,14,,46,,297,,34,,20,,56,,96,,896,,935,,2,,1,,18,,5,,12,,,
W.N. CENTRAL,2016,17,2,,11,,47,,320,,6,,1,,23,,51,,179,,817,,,-,2,,10,,28,,58,,,
S. ATLANTIC,2016,17,,-,1,,8,,30,,35,,19,,29,,70,,344,,523,,8,,13,,31,,103,,267,,,
DIST. OF COL.,2016,17,,-,0,,0,,,-,,-,,-,0,,2,,5,,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,17,,-,0,,3,,8,,6,,11,,12,,34,,326,,191,,3,,2,,6,,25,,29,,,
W.S. CENTRAL,2016,17,,-,0,,6,,18,,7,,16,,30,,118,,311,,414,,17,,19,,71,,199,,335,,,
MOUNTAIN,2016,17,,-,0,,6,,29,,13,,22,,40,,75,,532,,1191,,,-,1,,6,,1,,3,,,
PACIFIC,2016,17,1,,1,,3,,15,,9,,5,,52,,228,,476,,2284,,,-,3,,12,,37,,59,,,
AMER. SAMOA,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2016,17,19,,0,,3,,32,,13,,16,,14,,34,,306,,310,,,-,0,,5,,2,,8,,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2016,17,1,,0,,4,,19,,2,,,-,8,,27,,75,,173,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
TEXAS,2016,17,,-,0,,5,,18,,3,,16,,27,,115,,279,,374,,15,,15,,70,,180,,283,,"TEXAS
(31.827233, -99.423022)",
VERMONT,2016,17,,-,0,,1,,,-,,-,,-,1,,8,,36,,4,,1,,0,,3,,14,,3,,"VERMONT
(43.622479, -72.51927)",
