 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
DIST. OF COL.,2017,9,,-,0,,2,,,-,3,,,-,65,,146,,307,,475,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARIZONA,2017,9,1,,3,,7,,27,,30,,123,,199,,311,,1401,,1469,,5,,2,,5,,36,,42,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2017,9,,-,2,,6,,9,,18,,11,,70,,90,,627,,468,,,-,1,,5,,1,,7,,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2017,9,8,,17,,42,,91,,127,,207,,186,,454,,1617,,1362,,3,,4,,15,,28,,33,,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2017,9,,-,13,,28,,,-,133,,,-,276,,371,,,-,2286,,1,,3,,8,,20,,46,,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,9,,-,1,,5,,5,,12,,,-,26,,54,,,-,202,,,-,0,,2,,1,,4,,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2017,9,1,,3,,9,,16,,18,,57,,94,,190,,410,,797,,,-,1,,4,,7,,10,,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2017,9,,N,0,,0,,,N,,N,50,,119,,227,,947,,254,,1,,1,,3,,8,,9,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2017,9,,-,1,,11,,9,,24,,522,,221,,1971,,3948,,1467,,1,,1,,4,,13,,18,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,9,,N,0,,0,,,N,,N,68,,180,,269,,1126,,1738,,,-,3,,7,,29,,43,,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,9,6,,11,,22,,64,,96,,,-,92,,142,,633,,787,,1,,2,,8,,26,,26,,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,9,,N,0,,0,,,N,,N,25,,106,,157,,846,,989,,2,,1,,8,,27,,11,,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,9,20,,21,,53,,174,,163,,305,,534,,905,,4497,,4279,,3,,4,,65,,44,,58,,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2017,9,,-,10,,21,,69,,74,,111,,124,,253,,1242,,965,,,-,1,,6,,15,,20,,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,9,,N,0,,0,,,N,,N,787,,833,,1210,,7837,,7428,,3,,6,,28,,26,,35,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,18,,104,,131,,907,,809,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,10,46,,272,,441,,1593,,2468,,4254,,8093,,9545,,67530,,76017,,32,,83,,160,,816,,1058,,,
NEW ENGLAND,2017,10,2,,21,,36,,111,,201,,50,,170,,406,,1444,,1650,,,-,5,,16,,39,,53,,,
MID. ATLANTIC,2017,10,,-,48,,88,,310,,468,,589,,1046,,1205,,10052,,9403,,2,,13,,22,,103,,161,,,
NEW YORK CITY,2017,10,,-,17,,27,,163,,141,,279,,398,,506,,4078,,3385,,,-,2,,7,,18,,29,,,
E.N. CENTRAL,2017,10,6,,26,,152,,177,,256,,287,,1245,,1476,,8419,,12478,,1,,14,,31,,112,,195,,,
W.N. CENTRAL,2017,10,2,,15,,41,,95,,156,,172,,520,,627,,4948,,4759,,,-,5,,12,,44,,57,,,
S. ATLANTIC,2017,10,22,,49,,77,,281,,445,,589,,1758,,2420,,9062,,16751,,8,,18,,89,,214,,252,,,
E.S. CENTRAL,2017,10,,-,4,,10,,34,,57,,288,,584,,797,,4841,,4804,,3,,7,,12,,70,,87,,,
W.S. CENTRAL,2017,10,2,,4,,20,,31,,49,,1210,,1257,,2659,,14237,,11800,,8,,10,,30,,94,,89,,,
MOUNTAIN,2017,10,4,,25,,52,,165,,197,,348,,510,,736,,4618,,4634,,8,,7,,14,,96,,111,,,
PACIFIC,2017,10,8,,73,,135,,389,,639,,721,,1036,,1316,,9909,,9738,,2,,4,,10,,44,,53,,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2017,10,,-,11,,22,,64,,102,,,-,100,,142,,950,,865,,,-,2,,8,,26,,27,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2017,10,2,,1,,8,,7,,11,,40,,9,,207,,96,,113,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,10,,N,0,,0,,,N,,N,181,,117,,215,,1106,,1166,,,-,1,,6,,14,,11,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,10,,-,10,,21,,69,,79,,131,,123,,253,,1382,,1028,,,-,1,,4,,15,,21,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,10,,-,1,,4,,7,,10,,2,,27,,50,,193,,206,,,-,0,,3,,9,,12,,"HAWAII
(21.30992, -157.858158)",
SOUTH DAKOTA,2017,10,,-,2,,6,,11,,20,,,-,20,,33,,121,,263,,,-,0,,2,,1,,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,10,,-,0,,2,,,-,3,,,-,65,,146,,307,,560,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,10,,-,4,,11,,26,,50,,2,,50,,130,,204,,378,,,-,1,,4,,4,,13,,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,10,,-,4,,10,,34,,57,,,-,157,,268,,735,,1444,,,-,2,,4,,13,,19,,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2017,10,17,,21,,53,,191,,179,,319,,534,,905,,5061,,4799,,6,,4,,65,,50,,65,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2017,10,,-,5,,16,,26,,48,,141,,223,,286,,2249,,2076,,,-,2,,9,,24,,34,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,10,,-,2,,13,,2,,88,,74,,151,,197,,1408,,1708,,,-,2,,8,,17,,33,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,10,,N,0,,0,,,N,,N,31,,123,,227,,1180,,287,,3,,1,,3,,12,,11,,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,10,,-,11,,36,,54,,96,,36,,289,,353,,2752,,2804,,,-,4,,11,,38,,62,,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2017,10,,-,0,,4,,2,,13,,2,,16,,32,,78,,180,,,-,0,,4,,3,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,10,,-,1,,5,,6,,13,,,-,26,,54,,,-,223,,1,,0,,2,,2,,4,,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2017,10,,-,13,,28,,,-,144,,,-,275,,371,,,-,2533,,,-,3,,9,,30,,53,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,10,2,,9,,86,,47,,76,,117,,126,,148,,1225,,1277,,,-,1,,6,,4,,36,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2017,10,,-,17,,42,,91,,143,,200,,187,,457,,1814,,1506,,2,,4,,15,,30,,37,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,10,3,,3,,9,,22,,20,,24,,40,,59,,410,,385,,1,,1,,3,,11,,6,,"UTAH
(39.359772, -111.584173)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,10,,-,1,,2,,,-,5,,2,,6,,16,,40,,33,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,10,,-,0,,3,,,-,4,,,-,13,,28,,69,,136,,,-,0,,2,,2,,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,10,,-,1,,4,,3,,12,,38,,66,,99,,662,,564,,,-,1,,3,,6,,10,,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,10,,-,5,,17,,21,,61,,87,,86,,129,,896,,714,,1,,2,,7,,23,,26,,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2017,10,,-,2,,6,,7,,19,,1,,9,,51,,89,,170,,,-,0,,3,,1,,5,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2017,10,1,,8,,52,,8,,64,,143,,153,,208,,1256,,1469,,,-,0,,2,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,10,,-,1,,9,,10,,10,,13,,64,,129,,513,,597,,1,,1,,3,,12,,16,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2017,10,4,,5,,135,,66,,68,,,-,389,,475,,2317,,3740,,1,,3,,8,,41,,44,,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2017,10,,N,0,,0,,,N,,N,76,,192,,309,,1820,,1907,,,-,3,,7,,31,,46,,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2017,10,3,,4,,11,,30,,42,,67,,168,,372,,1061,,1315,,,-,2,,11,,27,,26,,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2017,10,,N,0,,0,,,N,,N,858,,833,,1211,,8731,,8153,,6,,6,,28,,35,,47,,"TEXAS
(31.827233, -99.423022)",
KANSAS,2017,10,,-,1,,6,,11,,20,,20,,70,,90,,687,,524,,,-,1,,5,,4,,8,,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,10,,-,2,,7,,7,,19,,,-,8,,18,,77,,90,,,-,0,,3,,6,,5,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,10,2,,3,,9,,22,,24,,66,,94,,190,,579,,869,,,-,1,,4,,13,,12,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2017,10,,-,0,,3,,,-,2,,24,,32,,59,,352,,324,,,-,0,,3,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2017,10,7,,54,,83,,347,,491,,489,,752,,913,,7564,,7126,,,-,1,,3,,10,,10,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,10,,-,9,,24,,50,,79,,43,,227,,299,,1359,,2106,,,-,3,,6,,24,,45,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2017,10,1,,3,,13,,22,,27,,,-,8,,39,,7,,141,,2,,0,,3,,8,,9,,"IDAHO
(43.680635, -114.364237)",
MONTANA,2017,10,,-,2,,8,,11,,13,,,-,13,,26,,1,,217,,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2017,10,,N,0,,0,,,N,,N,11,,339,,448,,1617,,3566,,,-,4,,12,,30,,47,,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2017,10,,-,1,,5,,11,,14,,19,,19,,37,,261,,148,,,-,0,,3,,7,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,10,,-,2,,7,,28,,31,,140,,199,,312,,1603,,1669,,4,,2,,5,,40,,46,,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2017,10,,-,3,,9,,14,,33,,116,,182,,263,,1901,,1789,,,-,2,,9,,13,,23,,"INDIANA
(39.76845, -86.156212)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,9,,104,,131,,983,,878,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2017,10,,N,0,,0,,,N,,N,23,,106,,157,,950,,1088,,2,,1,,8,,31,,11,,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2017,10,,-,0,,0,,,-,,-,,-,361,,426,,20,,3512,,,-,3,,10,,32,,41,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,10,2,,2,,9,,24,,25,,,-,43,,78,,366,,406,,,-,1,,4,,12,,5,,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,10,,-,1,,11,,9,,25,,263,,225,,1738,,3977,,1690,,,-,1,,4,,15,,19,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,10,,-,2,,7,,24,,21,,160,,182,,300,,2000,,1858,,1,,2,,10,,40,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,10,2,,5,,19,,25,,40,,,-,76,,776,,,-,1702,,1,,2,,13,,20,,30,,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,10,,N,0,,0,,,N,,N,7,,2,,7,,28,,34,,,-,0,,2,,2,,3,,"VERMONT
(43.622479, -72.51927)",
UNITED STATES,2017,11,54,,284,,480,,1804,,2804,,3342,,8805,,10412,,80994,,89712,,37,,89,,165,,972,,1188,,,
NEW ENGLAND,2017,11,,-,21,,36,,134,,223,,4,,171,,408,,1643,,1811,,1,,5,,17,,46,,61,,,
MID. ATLANTIC,2017,11,14,,57,,120,,405,,590,,550,,1197,,1361,,12590,,11660,,5,,16,,29,,162,,221,,,
NEW YORK CITY,2017,11,10,,17,,27,,184,,156,,184,,400,,506,,4442,,3710,,,-,2,,7,,21,,30,,,
E.N. CENTRAL,2017,11,,-,26,,152,,179,,273,,144,,1263,,1488,,10539,,13697,,,-,14,,31,,122,,211,,,
W.N. CENTRAL,2017,11,1,,15,,41,,113,,169,,263,,524,,627,,5631,,5231,,,-,5,,13,,56,,60,,,
S. ATLANTIC,2017,11,32,,49,,77,,321,,493,,554,,1762,,2418,,9935,,18404,,10,,18,,89,,239,,278,,,
E.S. CENTRAL,2017,11,,-,4,,10,,38,,59,,224,,609,,804,,5904,,5420,,1,,7,,12,,76,,90,,,
W.S. CENTRAL,2017,11,1,,6,,21,,34,,69,,1105,,1264,,2161,,15030,,12817,,16,,10,,31,,119,,95,,,
MOUNTAIN,2017,11,3,,25,,52,,186,,221,,276,,511,,738,,5155,,5055,,2,,7,,14,,105,,116,,,
PACIFIC,2017,11,3,,73,,135,,394,,707,,222,,1525,,1994,,14567,,15617,,2,,4,,10,,47,,56,,,
AMER. SAMOA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
DELAWARE,2017,11,,-,0,,3,,2,,4,,34,,32,,59,,386,,354,,,-,0,,3,,7,,4,,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2017,11,,N,0,,0,,,N,,N,,-,2,,7,,28,,35,,1,,0,,2,,3,,3,,"VERMONT
(43.622479, -72.51927)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2017,11,,-,5,,16,,36,,55,,189,,223,,286,,2511,,2295,,,-,2,,9,,30,,37,,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2017,11,1,,3,,9,,25,,25,,89,,96,,190,,719,,910,,2,,1,,4,,19,,12,,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2017,11,,-,1,,6,,9,,20,,3,,9,,51,,108,,183,,,-,0,,2,,2,,5,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2017,11,,-,0,,0,,,-,,-,7,,104,,131,,1080,,959,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
RHODE ISLAND,2017,11,,-,1,,8,,7,,11,,,-,9,,207,,96,,130,,,-,0,,12,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2017,11,,-,54,,83,,347,,546,,,-,1250,,1591,,11973,,12701,,,-,1,,3,,10,,10,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2017,11,,-,3,,7,,24,,25,,202,,181,,300,,2230,,2038,,,-,3,,10,,46,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2017,11,,-,1,,6,,11,,20,,27,,71,,90,,783,,579,,,-,1,,5,,9,,8,,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2017,11,,-,9,,86,,47,,87,,,-,126,,148,,1225,,1392,,,-,1,,6,,4,,40,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,11,,-,5,,135,,68,,71,,,-,393,,475,,3838,,4063,,,-,3,,8,,42,,49,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,11,,-,13,,28,,,-,151,,,-,275,,371,,,-,2727,,,-,3,,9,,30,,61,,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2017,11,,-,1,,2,,,-,6,,1,,6,,16,,48,,35,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2017,11,,-,3,,13,,25,,33,,14,,52,,71,,573,,472,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEVADA,2017,11,,-,1,,4,,4,,14,,28,,66,,102,,753,,618,,,-,1,,3,,8,,10,,"NEVADA
(39.491833, -117.070159)",
TEXAS,2017,11,,N,0,,0,,,N,,N,790,,834,,1218,,9599,,8872,,14,,6,,29,,51,,49,,"TEXAS
(31.827233, -99.423022)",
TENNESSEE,2017,11,,N,0,,0,,,N,,N,66,,192,,309,,1886,,2127,,,-,3,,7,,31,,47,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,11,1,,3,,9,,23,,20,,30,,41,,59,,453,,424,,,-,1,,3,,13,,6,,"UTAH
(39.359772, -111.584173)",
MARYLAND,2017,11,,-,4,,11,,30,,49,,60,,168,,383,,1159,,1520,,,-,2,,11,,28,,28,,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2017,11,,-,11,,21,,81,,87,,,-,124,,253,,1382,,1107,,,-,1,,4,,17,,23,,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2017,11,,-,0,,3,,,-,5,,,-,13,,28,,69,,140,,,-,0,,2,,2,,,-,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2017,11,,-,3,,12,,9,,44,,199,,229,,1234,,3669,,1850,,,-,1,,4,,18,,20,,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2017,11,2,,3,,13,,25,,30,,,-,7,,39,,7,,154,,,-,0,,3,,8,,10,,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,11,,-,1,,5,,11,,15,,,-,19,,37,,261,,168,,1,,1,,3,,10,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2017,11,,-,2,,6,,14,,23,,,-,20,,33,,139,,289,,,-,0,,2,,2,,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2017,11,,-,1,,5,,6,,15,,,-,26,,54,,,-,254,,,-,0,,2,,2,,5,,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,11,,-,2,,13,,2,,101,,35,,151,,197,,1534,,1847,,,-,2,,8,,18,,36,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2017,11,,-,5,,19,,31,,46,,,-,52,,776,,,-,1829,,1,,2,,13,,21,,35,,"VIRGINIA
(37.542699, -78.45822)",
MICHIGAN,2017,11,,-,9,,24,,50,,80,,44,,227,,299,,1519,,2307,,,-,3,,6,,28,,47,,"MICHIGAN
(44.66399, -84.711206)",
MISSISSIPPI,2017,11,,N,0,,0,,,N,,N,,-,138,,215,,1106,,1293,,,-,1,,6,,14,,12,,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,11,,-,1,,4,,9,,10,,,-,27,,50,,220,,232,,,-,0,,3,,10,,12,,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2017,11,,N,0,,0,,,N,,N,27,,354,,469,,1854,,3965,,,-,4,,12,,35,,50,,"ILLINOIS
(40.477092, -88.993221)",
KENTUCKY,2017,11,,N,0,,0,,,N,,N,,-,123,,227,,1180,,417,,,-,1,,4,,15,,11,,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2017,11,,-,1,,9,,13,,10,,15,,64,,130,,611,,666,,1,,1,,3,,14,,17,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2017,11,,-,4,,10,,38,,59,,158,,162,,268,,1732,,1583,,1,,1,,4,,16,,20,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2017,11,,-,17,,42,,91,,160,,142,,187,,457,,1954,,1661,,3,,4,,15,,34,,39,,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,11,,-,11,,21,,80,,118,,,-,100,,142,,1070,,967,,,-,2,,8,,29,,33,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2017,11,,-,0,,0,,,-,,-,,-,366,,428,,32,,3859,,,-,3,,10,,38,,46,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,11,1,,2,,9,,25,,25,,26,,43,,78,,467,,446,,,-,1,,4,,12,,5,,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2017,11,,-,0,,4,,2,,13,,,-,16,,32,,78,,191,,,-,0,,4,,3,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
DIST. OF COL.,2017,11,,-,0,,2,,,-,3,,,-,64,,146,,307,,616,,,-,0,,1,,1,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,11,,N,0,,0,,,N,,N,27,,106,,157,,1043,,1185,,,-,1,,8,,31,,14,,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,11,3,,7,,52,,11,,70,,143,,153,,208,,1399,,1642,,2,,0,,2,,2,,1,,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2017,11,,-,5,,17,,21,,66,,79,,86,,129,,975,,788,,,-,2,,7,,23,,28,,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,11,,-,2,,8,,12,,16,,,-,12,,26,,1,,229,,1,,0,,2,,5,,3,,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2017,11,,-,4,,11,,30,,53,,1,,50,,130,,264,,401,,,-,1,,4,,4,,14,,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2017,11,,-,2,,7,,8,,21,,,-,8,,18,,77,,95,,,-,0,,3,,8,,6,,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
FLORIDA,2017,11,32,,21,,53,,223,,200,,258,,534,,905,,5560,,5293,,8,,4,,65,,58,,71,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2017,11,,-,2,,7,,28,,38,,202,,197,,314,,1900,,1822,,,-,2,,5,,40,,47,,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2017,11,4,,20,,68,,128,,173,,189,,438,,532,,4660,,4442,,2,,8,,20,,89,,116,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,11,,-,3,,9,,14,,35,,73,,184,,263,,2103,,1970,,,-,2,,9,,13,,25,,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2017,12,115,,286,,479,,2158,,3081,,4350,,8733,,10455,,90755,,97048,,33,,89,,165,,1083,,1277,,,
NEW ENGLAND,2017,12,2,,21,,36,,143,,241,,52,,178,,419,,1998,,1979,,,-,5,,17,,51,,67,,,
MID. ATLANTIC,2017,12,23,,57,,120,,458,,638,,663,,1057,,1341,,13689,,11117,,5,,16,,29,,169,,232,,,
NEW YORK CITY,2017,12,21,,17,,27,,205,,169,,209,,400,,507,,4899,,4058,,1,,2,,7,,22,,31,,,
E.N. CENTRAL,2017,12,4,,26,,152,,191,,299,,239,,1268,,1495,,11512,,14939,,5,,14,,31,,137,,228,,,
W.N. CENTRAL,2017,12,5,,15,,41,,137,,192,,213,,524,,631,,6107,,5720,,4,,5,,14,,65,,67,,,
S. ATLANTIC,2017,12,18,,49,,77,,356,,544,,604,,1824,,2453,,10963,,20747,,9,,19,,89,,276,,288,,,
E.S. CENTRAL,2017,12,3,,4,,10,,42,,64,,368,,612,,806,,6541,,6109,,3,,7,,12,,92,,97,,,
W.S. CENTRAL,2017,12,2,,6,,21,,36,,75,,1067,,1267,,1743,,15815,,13979,,1,,10,,31,,123,,107,,,
MOUNTAIN,2017,12,12,,25,,52,,208,,245,,256,,524,,739,,6179,,5464,,5,,7,,14,,120,,129,,,
PACIFIC,2017,12,46,,73,,133,,587,,783,,888,,1542,,2000,,17951,,16994,,1,,4,,10,,50,,62,,,
AMER. SAMOA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OHIO,2017,12,3,,5,,135,,73,,77,,,-,393,,475,,3833,,4410,,5,,3,,8,,49,,54,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2017,12,38,,7,,65,,49,,74,,141,,153,,208,,1540,,1811,,1,,0,,2,,2,,1,,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2017,12,,-,1,,6,,15,,23,,4,,71,,90,,819,,630,,,-,1,,5,,9,,11,,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2017,12,,N,0,,0,,,N,,N,,-,190,,309,,1886,,2315,,3,,3,,7,,39,,49,,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2017,12,2,,20,,68,,131,,194,,222,,297,,532,,4976,,3257,,1,,8,,20,,91,,122,,"PENNSYLVANIA
(40.789676, -77.858055)",
MARYLAND,2017,12,3,,4,,11,,38,,48,,81,,169,,389,,1333,,1654,,,-,2,,11,,29,,31,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2017,12,2,,3,,9,,27,,28,,,-,96,,190,,719,,1023,,,-,1,,4,,19,,13,,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2017,12,,-,3,,12,,9,,47,,208,,229,,791,,3433,,2043,,,-,1,,4,,18,,23,,"LOUISIANA
(31.2931, -92.463284)",
