Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
IOWA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
UTAH,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
OREGON,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
INDIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2017,3,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WEST VIRGINIA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,3,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2017,3,,-,0,,1,,,-,1,,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
DIST. OF COL.,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,3,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2017,3,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2017,3,,-,2,,13,,,-,3,,,-,12,,55,,,-,5,,,-,0,,2,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2017,3,,-,0,,3,,,-,,-,,-,6,,41,,1,,,-,,-,0,,3,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,3,,-,1,,10,,,-,1,,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2017,3,,-,0,,1,,,-,1,,,-,2,,22,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2017,3,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PUERTO RICO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2017,3,,-,0,,6,,,-,1,,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2017,3,,-,0,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,3,,-,0,,7,,,-,1,,,-,1,,13,,,-,1,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
OKLAHOMA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,3,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2017,3,,-,2,,16,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2017,3,,-,0,,2,,,-,,-,,-,10,,69,,,-,10,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2017,3,,-,2,,20,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MAINE,2017,3,,-,0,,1,,1,,,-,1,,3,,31,,2,,3,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
UNITED STATES,2017,4,,-,13,,91,,3,,14,,,-,44,,200,,7,,30,,,-,2,,9,,1,,,-,,
NEW ENGLAND,2017,4,,-,0,,8,,1,,3,,,-,19,,100,,2,,17,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,4,,-,3,,17,,1,,5,,,-,14,,61,,4,,9,,,-,0,,3,,1,,,-,,
NEW YORK CITY,2017,4,,-,0,,3,,1,,,-,,-,1,,5,,4,,1,,,-,0,,1,,1,,,-,,
E.N. CENTRAL,2017,4,,-,1,,8,,1,,,-,,-,6,,42,,1,,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,4,,-,2,,25,,,-,2,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,4,,-,2,,18,,,-,3,,,-,0,,4,,,-,4,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,4,,-,1,,12,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,4,,-,2,,18,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
LOUISIANA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2017,4,,-,0,,3,,,-,,-,,-,6,,41,,1,,,-,,-,0,,3,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,4,,-,0,,1,,1,,,-,,-,3,,31,,2,,3,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
MASSACHUSETTS,2017,4,,-,0,,2,,,-,,-,,-,11,,69,,,-,10,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
GUAM,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
ALASKA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
IOWA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2017,4,,-,2,,13,,,-,4,,,-,12,,55,,,-,7,,,-,0,,2,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,4,,-,0,,1,,,-,1,,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,4,,-,2,,20,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
OHIO,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
OREGON,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
CONNECTICUT,2017,4,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,4,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2017,4,,-,0,,6,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2017,4,,-,2,,16,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSISSIPPI,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2017,4,,-,0,,1,,,-,1,,,-,2,,22,,,-,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2017,4,,-,0,,6,,,-,1,,,-,0,,18,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,4,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2017,4,,-,1,,10,,,-,1,,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2017,4,,-,0,,7,,,-,1,,,-,1,,13,,,-,1,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DIST. OF COL.,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2017,4,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PUERTO RICO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2017,4,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,4,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2017,4,,-,0,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALABAMA,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2017,4,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2017,4,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UNITED STATES,2017,5,1,,13,,91,,5,,18,,1,,44,,201,,8,,33,,,-,2,,9,,1,,2,,,
NEW ENGLAND,2017,5,,-,0,,8,,1,,3,,,-,19,,100,,2,,18,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,5,,-,3,,17,,2,,5,,1,,14,,61,,5,,10,,,-,0,,3,,1,,1,,,
NEW YORK CITY,2017,5,,-,0,,3,,1,,,-,1,,1,,5,,5,,1,,,-,0,,1,,1,,1,,,
E.N. CENTRAL,2017,5,,-,1,,8,,1,,,-,,-,6,,42,,1,,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,5,,-,2,,25,,,-,3,,,-,0,,4,,,-,1,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,5,1,,2,,18,,1,,4,,,-,0,,4,,,-,4,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,5,,-,1,,12,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,5,,-,2,,18,,,-,2,,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,5,,-,2,,16,,,-,1,,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2017,5,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
IOWA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,5,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2017,5,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,5,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2017,5,,-,0,,1,,,-,1,,,-,2,,22,,,-,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
LOUISIANA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2017,5,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2017,5,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2017,5,,-,0,,3,,,-,,-,,-,6,,41,,1,,,-,,-,0,,3,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,5,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,5,,-,0,,7,,1,,1,,,-,1,,13,,,-,1,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MISSISSIPPI,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,5,,-,0,,2,,,-,,-,,-,11,,69,,,-,11,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,5,1,,0,,9,,1,,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
