Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
PUERTO RICO,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2017,3,,-,1,,4,,,-,2,,,-,0,,2,,,-,4,,,-,7,,16,,,-,36,,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2017,3,,-,0,,39,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2017,3,,-,1,,3,,1,,2,,1,,1,,3,,1,,,-,,-,3,,11,,3,,6,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,3,1,,0,,2,,2,,1,,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"OREGON
(44.567912, -120.156945)",
UTAH,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,1,,5,,3,,2,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,3,3,,2,,7,,6,,6,,3,,11,,17,,22,,27,,3,,4,,9,,6,,16,,"FLORIDA
(28.915325, -81.922409)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,3,,-,0,,1,,,-,1,,1,,1,,4,,4,,,-,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,3,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,,-,1,,6,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2017,3,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2017,3,,-,1,,3,,1,,6,,1,,1,,7,,3,,6,,,-,1,,4,,1,,1,,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2017,3,,-,1,,7,,1,,1,,,-,1,,3,,1,,1,,,-,1,,5,,1,,7,,"MICHIGAN
(44.66399, -84.711206)",
VIRGINIA,2017,3,,-,2,,40,,3,,2,,,-,1,,5,,,-,5,,,-,1,,4,,1,,1,,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSISSIPPI,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,8,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,3,,-,0,,1,,,-,4,,,-,4,,9,,2,,10,,,-,2,,7,,1,,9,,"INDIANA
(39.76845, -86.156212)",
IOWA,2017,3,,-,0,,2,,1,,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,3,1,,4,,10,,2,,7,,,-,2,,6,,2,,8,,,-,1,,4,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2017,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2017,3,,-,1,,4,,,-,5,,,-,0,,3,,,-,2,,,-,1,,4,,,-,4,,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2017,3,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2017,3,,-,0,,4,,,-,,-,,-,2,,12,,,-,8,,,-,1,,6,,3,,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2017,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2017,3,,-,0,,2,,,-,,-,1,,4,,7,,8,,14,,,-,2,,11,,,-,11,,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2017,3,1,,0,,2,,1,,,-,,-,3,,11,,4,,10,,,-,2,,8,,1,,6,,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARKANSAS,2017,3,,-,0,,3,,,-,,-,1,,1,,5,,3,,2,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,3,,-,0,,2,,,-,1,,,-,1,,3,,,-,4,,,-,0,,3,,,-,2,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2017,3,,-,1,,5,,,-,4,,,-,2,,6,,1,,7,,,-,1,,4,,,-,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
IDAHO,2017,3,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"IDAHO
(43.680635, -114.364237)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2017,3,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,1,,0,,3,,1,,,-,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,3,,-,0,,1,,,-,2,,2,,1,,3,,4,,2,,,-,0,,2,,1,,,-,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,1,,3,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2017,4,9,,32,,104,,51,,104,,17,,55,,79,,126,,221,,10,,45,,72,,53,,252,,,
NEW ENGLAND,2017,4,,-,2,,5,,2,,8,,,-,1,,3,,6,,9,,,-,7,,17,,1,,58,,,
MID. ATLANTIC,2017,4,1,,4,,10,,6,,15,,,-,4,,7,,8,,7,,2,,7,,17,,8,,42,,,
NEW YORK CITY,2017,4,1,,1,,3,,4,,2,,,-,1,,3,,2,,3,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2017,4,,-,4,,11,,7,,12,,4,,11,,20,,22,,45,,2,,8,,17,,7,,52,,,
W.N. CENTRAL,2017,4,,-,1,,5,,2,,5,,,-,1,,7,,1,,12,,,-,2,,7,,5,,11,,,
S. ATLANTIC,2017,4,6,,7,,55,,19,,29,,10,,19,,34,,46,,79,,3,,10,,20,,17,,43,,,
E.S. CENTRAL,2017,4,,-,1,,4,,1,,4,,2,,9,,18,,26,,41,,1,,5,,17,,4,,28,,,
W.S. CENTRAL,2017,4,,-,3,,8,,1,,8,,1,,4,,16,,10,,8,,,-,1,,5,,1,,1,,,
MOUNTAIN,2017,4,,-,2,,5,,4,,11,,,-,1,,4,,4,,6,,2,,2,,8,,7,,14,,,
PACIFIC,2017,4,2,,6,,47,,9,,12,,,-,3,,6,,3,,14,,,-,2,,9,,3,,3,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WISCONSIN,2017,4,,-,0,,2,,,-,,-,1,,0,,2,,2,,1,,,-,1,,2,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2017,4,,-,0,,2,,,-,,-,1,,4,,7,,9,,16,,1,,3,,11,,3,,17,,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2017,4,,-,0,,4,,2,,,-,,-,2,,12,,,-,12,,,-,1,,6,,3,,6,,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2017,4,,-,0,,5,,1,,2,,,-,0,,3,,2,,3,,,-,0,,3,,,-,2,,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,4,,-,1,,2,,2,,6,,,-,0,,3,,3,,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,4,,-,0,,1,,,-,1,,1,,1,,4,,5,,2,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2017,4,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,1,,5,,3,,2,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,4,1,,4,,10,,3,,11,,,-,2,,6,,3,,13,,,-,1,,4,,3,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,4,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2017,4,3,,2,,7,,9,,11,,8,,11,,17,,34,,34,,2,,4,,9,,11,,22,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2017,4,2,,2,,40,,5,,3,,2,,1,,5,,2,,7,,,-,1,,4,,1,,3,,"VIRGINIA
(37.542699, -78.45822)",
MAINE,2017,4,,-,0,,1,,,-,2,,,-,1,,3,,4,,3,,,-,0,,2,,1,,2,,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2017,4,,-,1,,4,,,-,7,,,-,0,,3,,,-,2,,,-,1,,4,,,-,8,,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,4,,-,0,,2,,,-,4,,,-,1,,3,,2,,9,,,-,0,,4,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2017,4,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,4,,-,0,,3,,,-,,-,,-,1,,3,,,-,,-,,-,1,,6,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2017,4,,-,1,,5,,,-,5,,,-,2,,6,,1,,12,,,-,1,,4,,,-,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
DIST. OF COL.,2017,4,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,4,,-,0,,2,,1,,2,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW YORK,2017,4,,-,1,,3,,1,,2,,,-,1,,3,,1,,1,,2,,3,,11,,4,,13,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,4,,-,0,,7,,2,,,-,3,,5,,13,,11,,27,,2,,3,,10,,3,,23,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2017,4,,-,0,,2,,,-,2,,,-,0,,3,,2,,3,,,-,0,,2,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2017,4,,-,1,,4,,2,,5,,,-,0,,2,,2,,5,,,-,6,,16,,,-,50,,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,4,,-,0,,2,,1,,1,,,-,0,,2,,1,,,-,2,,0,,3,,3,,1,,"COLORADO
(38.841772, -106.132562)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2017,4,1,,0,,2,,3,,1,,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"OREGON
(44.567912, -120.156945)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2017,4,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,0,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
IDAHO,2017,4,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,4,,-,0,,2,,,-,2,,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,4,,-,0,,2,,1,,,-,1,,3,,11,,12,,13,,,-,2,,8,,1,,8,,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2017,4,,-,0,,3,,,-,,-,,-,1,,5,,3,,3,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2017,4,1,,1,,3,,2,,6,,,-,2,,7,,4,,8,,1,,1,,4,,2,,2,,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2017,4,,-,1,,7,,5,,2,,,-,1,,4,,4,,1,,,-,1,,5,,2,,8,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2017,4,,-,0,,39,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,,-,0,,2,,,-,1,,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,4,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2017,4,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ILLINOIS,2017,4,,-,1,,4,,,-,6,,,-,0,,3,,,-,3,,,-,0,,3,,,-,5,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
INDIANA,2017,4,,-,0,,1,,,-,4,,,-,4,,9,,5,,13,,,-,2,,7,,2,,11,,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,10,,"NEW MEXICO
(34.520396, -106.244402)",
NEW HAMPSHIRE,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,4,,-,0,,2,,,-,1,,,-,1,,3,,1,,5,,,-,0,,4,,5,,3,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2017,4,,-,3,,6,,1,,7,,,-,2,,12,,2,,3,,,-,0,,4,,,-,1,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,4,,-,0,,4,,1,,1,,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2017,4,,-,1,,3,,1,,4,,,-,1,,3,,5,,1,,,-,3,,9,,4,,19,,"PENNSYLVANIA
(40.789676, -77.858055)",
UNITED STATES,2017,5,11,,31,,104,,69,,144,,23,,56,,79,,159,,290,,11,,45,,72,,71,,322,,,
NEW ENGLAND,2017,5,,-,2,,5,,2,,10,,1,,1,,3,,7,,12,,,-,7,,17,,1,,75,,,
MID. ATLANTIC,2017,5,5,,4,,10,,11,,20,,1,,4,,7,,10,,13,,3,,7,,17,,12,,49,,,
NEW YORK CITY,2017,5,3,,1,,3,,7,,5,,,-,1,,3,,2,,6,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2017,5,,-,4,,11,,8,,19,,2,,11,,20,,26,,57,,2,,8,,17,,10,,66,,,
W.N. CENTRAL,2017,5,,-,1,,5,,2,,5,,1,,1,,7,,4,,15,,,-,2,,7,,7,,14,,,
S. ATLANTIC,2017,5,6,,7,,55,,26,,35,,11,,19,,34,,61,,101,,3,,10,,20,,23,,57,,,
E.S. CENTRAL,2017,5,,-,0,,4,,1,,6,,4,,8,,18,,32,,55,,,-,5,,17,,4,,35,,,
W.S. CENTRAL,2017,5,,-,3,,8,,2,,12,,1,,4,,16,,11,,10,,2,,1,,5,,3,,3,,,
MOUNTAIN,2017,5,,-,2,,5,,5,,14,,1,,1,,4,,2,,7,,1,,2,,9,,8,,16,,,
PACIFIC,2017,5,,-,6,,47,,12,,23,,1,,3,,6,,6,,20,,,-,2,,9,,3,,7,,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSOURI,2017,5,,-,0,,2,,,-,1,,,-,1,,3,,1,,6,,,-,0,,4,,5,,3,,"MISSOURI
(38.636168, -92.566292)",
OREGON,2017,5,,-,0,,2,,3,,2,,1,,0,,3,,1,,1,,,-,0,,2,,,-,2,,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2017,5,,-,0,,39,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2017,5,,-,0,,1,,,-,2,,,-,1,,4,,5,,3,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,5,2,,1,,3,,3,,4,,,-,1,,3,,1,,2,,1,,3,,11,,5,,15,,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2017,5,,-,4,,10,,6,,21,,,-,2,,6,,5,,18,,,-,1,,4,,3,,4,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,5,,-,1,,4,,,-,9,,,-,0,,3,,,-,4,,,-,0,,3,,,-,6,,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,5,5,,2,,7,,14,,11,,9,,11,,17,,44,,43,,3,,4,,9,,17,,27,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2017,5,,-,0,,2,,,-,,-,2,,4,,7,,12,,23,,,-,2,,11,,3,,20,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,10,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,5,,-,0,,2,,,-,3,,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,5,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,1,,0,,4,,1,,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,5,,-,1,,4,,,-,7,,,-,0,,3,,,-,4,,,-,0,,3,,,-,11,,"NEW JERSEY
(40.104655, -74.386686)",
ALABAMA,2017,5,,-,0,,2,,,-,5,,2,,1,,3,,5,,12,,,-,0,,4,,,-,4,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2017,5,,-,0,,7,,2,,,-,2,,5,,13,,13,,36,,2,,3,,10,,5,,26,,"OHIO
(40.056807, -82.405897)",
INDIANA,2017,5,,-,0,,1,,1,,4,,,-,4,,9,,7,,14,,,-,2,,7,,3,,14,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2017,5,,-,0,,3,,,-,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,2,,2,,,-,1,,2,,,-,7,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,5,,-,1,,4,,2,,6,,,-,0,,2,,2,,5,,,-,6,,16,,,-,66,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2017,5,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,5,,-,0,,3,,,-,,-,,-,1,,3,,,-,1,,,-,1,,6,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
UTAH,2017,5,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,1,,1,,4,,3,,3,,"UTAH
(39.359772, -111.584173)",
MARYLAND,2017,5,,-,0,,5,,1,,2,,,-,0,,3,,3,,3,,,-,0,,3,,,-,2,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,5,,-,2,,40,,5,,5,,,-,1,,5,,3,,7,,,-,1,,4,,1,,3,,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2017,5,,-,1,,3,,1,,4,,1,,1,,3,,7,,1,,2,,3,,9,,7,,21,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2017,5,,-,0,,4,,2,,,-,,-,1,,12,,,-,18,,,-,1,,6,,3,,8,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2017,5,1,,0,,2,,2,,2,,,-,0,,4,,2,,4,,,-,0,,2,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2017,5,,-,0,,2,,1,,,-,,-,3,,11,,12,,17,,,-,1,,8,,1,,11,,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2017,5,,-,0,,1,,1,,1,,1,,0,,1,,1,,2,,,-,0,,1,,1,,,-,"IDAHO
(43.680635, -114.364237)",
MAINE,2017,5,,-,0,,1,,,-,2,,1,,1,,3,,5,,5,,,-,0,,2,,1,,2,,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2017,5,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,0,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
DELAWARE,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2017,5,,-,1,,5,,,-,6,,,-,2,,6,,1,,15,,,-,1,,4,,,-,11,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2017,5,,-,1,,2,,3,,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2017,5,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2017,5,,-,0,,3,,,-,,-,1,,1,,5,,4,,4,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2017,5,,-,2,,6,,2,,10,,,-,2,,12,,2,,3,,1,,0,,4,,1,,1,,"TEXAS
(31.827233, -99.423022)",
DIST. OF COL.,2017,5,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,5,,-,0,,2,,1,,2,,1,,0,,2,,2,,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,5,,-,0,,1,,,-,1,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
