Reporting Area,MMWR Year,MMWR Week,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week, flag ","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016, flag",Location 1,Location 2
WASHINGTON,2017,3,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2017,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
CALIFORNIA,2017,3,,-,1,,10,,,-,3,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VERMONT,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UTAH,2017,3,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2017,3,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2017,3,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2017,3,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2017,4,4,,15,,68,,22,,44,,2,,0,,4,,5,,1,,,
NEW ENGLAND,2017,4,1,,1,,13,,1,,3,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,4,,-,1,,10,,2,,1,,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,4,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,4,,-,1,,5,,1,,4,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,4,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,4,3,,7,,21,,12,,15,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,4,,-,1,,5,,,-,6,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,4,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,4,,-,1,,4,,2,,1,,2,,0,,1,,4,,,-,,
PACIFIC,2017,4,,-,2,,22,,3,,9,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ALASKA,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,4,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,4,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,4,3,,3,,10,,11,,9,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2017,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2017,4,,-,0,,3,,,-,,-,1,,0,,0,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,4,,-,1,,7,,1,,,-,,-,0,,1,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
KENTUCKY,2017,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW JERSEY,2017,4,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2017,4,,-,0,,5,,1,,1,,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2017,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2017,4,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH CAROLINA,2017,4,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
SOUTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OHIO,2017,4,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
OKLAHOMA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,4,,-,1,,9,,1,,1,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
COLORADO,2017,4,,-,0,,2,,1,,,-,1,,0,,1,,2,,,-,"COLORADO
(38.841772, -106.132562)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,4,1,,0,,7,,1,,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WASHINGTON,2017,4,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
LOUISIANA,2017,4,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2017,4,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,4,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,4,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
HAWAII,2017,4,,-,0,,3,,,-,2,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2017,4,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2017,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,4,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,4,,-,1,,10,,2,,5,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW MEXICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OREGON,2017,4,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2017,5,5,,16,,68,,32,,49,,,-,0,,4,,5,,5,,,
NEW ENGLAND,2017,5,,-,1,,13,,1,,3,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,5,,-,1,,10,,2,,1,,,-,0,,4,,,-,4,,,
NEW YORK CITY,2017,5,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,5,,-,1,,5,,1,,4,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,5,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,5,4,,7,,21,,16,,17,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,5,1,,1,,5,,1,,7,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,5,,-,2,,11,,3,,4,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,5,,-,1,,4,,2,,1,,,-,0,,2,,4,,,-,,
PACIFIC,2017,5,,-,2,,22,,6,,11,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PENNSYLVANIA,2017,5,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,5,,-,0,,3,,2,,2,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2017,5,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
LOUISIANA,2017,5,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,5,3,,3,,10,,14,,10,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2017,5,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
IOWA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2017,5,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2017,5,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OHIO,2017,5,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IOWA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ALABAMA,2017,5,1,,0,,4,,1,,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2017,5,,-,0,,7,,1,,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,5,,-,0,,2,,1,,,-,,-,0,,1,,2,,,-,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,5,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2017,5,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2017,5,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2017,5,,-,1,,9,,1,,1,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
INDIANA,2017,5,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2017,5,,-,0,,5,,1,,1,,,-,0,,4,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2017,5,,-,2,,10,,3,,5,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2017,5,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,5,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2017,5,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,5,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UTAH,2017,5,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MARYLAND,2017,5,1,,1,,7,,2,,,-,,-,0,,1,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
KENTUCKY,2017,5,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2017,5,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WYOMING,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,5,,-,0,,3,,1,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2017,6,4,,16,,70,,41,,60,,,-,0,,2,,8,,5,,,
NEW ENGLAND,2017,6,,-,1,,14,,1,,3,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,6,1,,1,,10,,6,,1,,,-,0,,1,,,-,4,,,
NEW YORK CITY,2017,6,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,6,,-,1,,5,,1,,5,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,6,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,6,3,,7,,21,,18,,20,,,-,0,,2,,4,,1,,,
E.S. CENTRAL,2017,6,,-,1,,5,,1,,7,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,6,,-,2,,11,,3,,7,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,6,,-,1,,4,,3,,1,,,-,0,,2,,4,,,-,,
PACIFIC,2017,6,,-,3,,22,,8,,15,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PENNSYLVANIA,2017,6,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2017,6,,-,2,,10,,5,,9,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,6,3,,3,,10,,17,,13,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,6,,-,0,,4,,1,,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
IOWA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,6,,-,1,,7,,1,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2017,6,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2017,6,,-,0,,3,,2,,2,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2017,6,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UTAH,2017,6,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MAINE,2017,6,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2017,6,,-,0,,2,,1,,,-,,-,0,,1,,2,,,-,"COLORADO
(38.841772, -106.132562)",
MISSOURI,2017,6,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2017,6,,-,0,,2,,2,,4,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OHIO,2017,6,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2017,6,,-,0,,3,,,-,1,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
RHODE ISLAND,2017,6,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,6,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,6,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2017,6,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,6,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2017,6,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,6,,-,0,,5,,4,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
SOUTH CAROLINA,2017,6,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DIST. OF COL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,6,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2017,6,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2017,6,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
