Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
MISSOURI,2017,3,,-,0,,1,,,-,,-,,-,5,,22,,,-,,-,1,,7,,16,,5,,28,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2017,3,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,,-,8,,22,,3,,25,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,,-,22,,"MINNESOTA
(46.357661, -94.793397)",
OREGON,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,6,,15,,8,,15,,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2017,3,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,17,,25,,,-,63,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2017,3,,-,0,,1,,,-,,-,,-,1,,2,,1,,,-,1,,5,,12,,9,,30,,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2017,3,,-,0,,1,,,-,,-,1,,0,,3,,1,,1,,6,,14,,24,,24,,42,,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,,-,1,,"MAINE
(45.252223, -68.986647)",
GEORGIA,2017,3,,-,1,,8,,1,,5,,,-,0,,0,,,-,,-,,-,24,,50,,,-,114,,"GEORGIA
(32.836038, -83.631709)",
CALIFORNIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,16,,107,,128,,118,,317,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,30,,5,,28,,"LOUISIANA
(31.2931, -92.463284)",
COLORADO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,2,,12,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,3,,-,0,,0,,,-,,-,,-,1,,7,,,-,,-,1,,5,,13,,6,,15,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,17,,,-,34,,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,2,,6,,2,,6,,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,2,,6,,12,,9,,15,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2017,3,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,8,,16,,,-,25,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,1,,11,,4,,5,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"VERMONT
(43.622479, -72.51927)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,7,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,2,,45,,66,,28,,110,,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,1,,0,,7,,1,,10,,"DELAWARE
(39.008676, -75.574561)",
ARKANSAS,2017,3,,-,0,,1,,,-,,-,1,,8,,75,,2,,1,,,-,2,,11,,1,,7,,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,1,,13,,23,,10,,31,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,,-,23,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,7,,14,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TEXAS,2017,3,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,24,,38,,55,,104,,106,,"TEXAS
(31.827233, -99.423022)",
KANSAS,2017,3,,-,0,,1,,,-,,-,,-,1,,10,,,-,,-,,-,2,,6,,,-,5,,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,4,,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,10,,1,,12,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,,-,22,,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2017,3,,-,0,,1,,,-,1,,,-,10,,40,,,-,5,,,-,6,,15,,,-,27,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,,-,6,,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2017,3,,-,0,,2,,,-,,-,,-,7,,28,,,-,3,,,-,20,,28,,2,,68,,"NORTH CAROLINA
(35.47995, -79.180571)",
DIST. OF COL.,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,3,,-,0,,2,,,-,,-,,-,2,,11,,,-,6,,1,,3,,12,,1,,6,,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,,-,5,,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,4,,-,2,,11,,1,,7,,1,,59,,216,,8,,35,,116,,503,,597,,737,,2026,,,
NEW ENGLAND,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,2,,14,,29,,18,,75,,,
MID. ATLANTIC,2017,4,,-,0,,1,,,-,,-,,-,2,,13,,1,,2,,29,,67,,91,,109,,255,,,
NEW YORK CITY,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,4,,33,,49,,40,,145,,,
E.N. CENTRAL,2017,4,,-,0,,2,,,-,,-,,-,2,,15,,,-,1,,,-,46,,58,,34,,195,,,
W.N. CENTRAL,2017,4,,-,0,,2,,,-,,-,,-,7,,28,,,-,1,,1,,19,,32,,11,,94,,,
S. ATLANTIC,2017,4,,-,1,,10,,1,,5,,,-,17,,44,,2,,10,,15,,117,,161,,102,,513,,,
E.S. CENTRAL,2017,4,,-,0,,4,,,-,2,,1,,21,,65,,2,,18,,3,,21,,38,,22,,77,,,
W.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,,-,9,,80,,2,,1,,40,,58,,77,,163,,216,,,
MOUNTAIN,2017,4,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,2,,31,,54,,41,,120,,,
PACIFIC,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,24,,125,,155,,237,,481,,,
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,4,,35,,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,0,,3,,1,,1,,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,4,,-,0,,1,,,-,,-,,-,8,,75,,2,,1,,,-,2,,11,,1,,9,,"ARKANSAS
(34.748745, -92.275105)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,8,,"IOWA
(42.46942, -93.815856)",
TEXAS,2017,4,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,40,,38,,55,,149,,143,,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,1,,45,,66,,61,,155,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2017,4,,-,0,,2,,,-,,-,,-,7,,28,,,-,5,,,-,20,,28,,9,,88,,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,7,,1,,10,,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2017,4,,-,0,,1,,,-,,-,,-,1,,10,,,-,1,,,-,2,,6,,1,,7,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,4,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,1,,8,,22,,8,,33,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,,-,9,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,14,,7,,14,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,15,,24,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2017,4,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,8,,16,,2,,32,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,,-,32,,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,9,,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2017,4,,-,0,,1,,,-,,-,,-,5,,22,,,-,,-,1,,7,,16,,9,,44,,"MISSOURI
(38.636168, -92.566292)",
NEW YORK,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,19,,10,,19,,30,,17,,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,4,,19,,,-,4,,,-,3,,41,,,-,16,,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,4,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,17,,26,,,-,77,,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,4,,-,0,,0,,,-,,-,,-,1,,7,,,-,,-,,-,5,,13,,9,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2017,4,,-,0,,1,,,-,,-,,-,7,,24,,1,,4,,,-,6,,14,,9,,19,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,2,,6,,15,,12,,24,,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2017,4,,-,0,,1,,,-,1,,1,,10,,40,,1,,8,,2,,6,,15,,2,,34,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,1,,9,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,19,,106,,128,,198,,409,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,9,,21,,27,,39,,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2017,4,,-,0,,1,,,-,,-,,-,1,,2,,1,,1,,12,,5,,12,,21,,32,,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,2,,6,,6,,9,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,1,,27,,"MICHIGAN
(44.66399, -84.711206)",
ALASKA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WYOMING,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,8,,18,,11,,46,,"MASSACHUSETTS
(42.268546, -72.085064)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IDAHO,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,1,,4,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,30,,13,,45,,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,11,,5,,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,12,,,-,19,,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,8,,25,,18,,22,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,13,,23,,12,,46,,"ARIZONA
(34.869712, -111.760902)",
OHIO,2017,4,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,12,,58,,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,4,,-,0,,1,,,-,,-,,-,0,,3,,1,,1,,6,,15,,24,,37,,61,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2017,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2017,4,,-,1,,8,,1,,5,,,-,0,,0,,,-,,-,,-,23,,50,,,-,164,,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,2,,7,,2,,12,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,4,,-,0,,2,,,-,1,,,-,2,,11,,,-,6,,1,,3,,12,,2,,7,,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,1,,10,,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,,-,1,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,4,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,2,,22,,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2017,5,,-,2,,11,,2,,7,,2,,59,,216,,22,,49,,122,,512,,605,,1063,,2571,,,
NEW YORK,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,16,,10,,19,,46,,27,,"NEW YORK
(42.826892, -75.544286)",
NEW ENGLAND,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,1,,14,,29,,22,,97,,,
MID. ATLANTIC,2017,5,,-,0,,1,,,-,,-,,-,2,,13,,2,,3,,27,,66,,91,,169,,329,,,
NEW YORK CITY,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,5,,34,,49,,72,,188,,,
E.N. CENTRAL,2017,5,,-,0,,2,,,-,,-,,-,2,,15,,,-,1,,,-,50,,66,,43,,268,,,
W.N. CENTRAL,2017,5,,-,0,,2,,,-,,-,,-,7,,28,,2,,1,,2,,19,,29,,23,,109,,,
S. ATLANTIC,2017,5,,-,1,,10,,1,,5,,,-,17,,45,,2,,14,,13,,115,,161,,161,,642,,,
E.S. CENTRAL,2017,5,,-,0,,4,,,-,2,,1,,21,,65,,8,,22,,9,,22,,38,,50,,91,,,
W.S. CENTRAL,2017,5,,-,0,,1,,,-,,-,,-,10,,80,,6,,5,,38,,57,,77,,212,,276,,,
MOUNTAIN,2017,5,,-,0,,2,,1,,,-,1,,0,,2,,1,,,-,3,,31,,55,,61,,158,,,
PACIFIC,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,29,,126,,156,,322,,601,,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
MICHIGAN,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,5,,37,,"MICHIGAN
(44.66399, -84.711206)",
WEST VIRGINIA,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,1,,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
INDIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,17,,34,,"INDIANA
(39.76845, -86.156212)",
GUAM,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,9,,21,,35,,44,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,5,,-,0,,1,,,-,,-,,-,0,,3,,1,,1,,6,,14,,24,,49,,74,,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,1,,5,,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2017,5,,-,0,,1,,,-,,-,,-,1,,8,,1,,1,,,-,8,,16,,2,,40,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,5,,-,0,,1,,,-,,-,,-,1,,6,,2,,,-,37,,38,,54,,191,,182,,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,4,,14,,14,,20,,"COLORADO
(38.841772, -106.132562)",
MONTANA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,12,,30,,15,,51,,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,8,,,-,12,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,3,,46,,66,,95,,194,,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,8,,5,,13,,30,,44,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,1,,11,,7,,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,2,,7,,2,,12,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,18,,11,,56,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2017,5,,-,0,,0,,,-,,-,,-,1,,7,,1,,1,,1,,5,,13,,17,,21,,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2017,5,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,12,,73,,"OHIO
(40.056807, -82.405897)",
KANSAS,2017,5,,-,0,,1,,,-,,-,,-,1,,10,,,-,1,,,-,2,,6,,3,,9,,"KANSAS
(38.345528, -98.201847)",
UTAH,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,2,,10,,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,10,,47,,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,1,,9,,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2017,5,,-,0,,2,,,-,,-,,-,7,,29,,,-,6,,1,,19,,28,,20,,111,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,5,,-,1,,8,,1,,5,,,-,0,,0,,,-,,-,,-,22,,41,,,-,193,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,,-,37,,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,5,,-,0,,1,,,-,,-,,-,5,,22,,2,,,-,2,,7,,14,,14,,50,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2017,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,12,,1,,31,,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2017,5,,-,0,,1,,,-,,-,,-,4,,19,,,-,4,,,-,3,,41,,,-,31,,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2017,5,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,2,,6,,8,,12,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,6,,15,,17,,28,,"OREGON
(44.567912, -120.156945)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2017,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,4,,9,,"IOWA
(42.46942, -93.815856)",
DELAWARE,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,,-,0,,7,,1,,10,,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2017,5,,-,0,,1,,,-,,-,,-,7,,24,,1,,5,,3,,6,,14,,24,,23,,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,21,,31,,"NEVADA
(39.491833, -117.070159)",
HAWAII,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,1,,6,,1,,10,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,5,,-,0,,2,,1,,,-,1,,0,,1,,1,,,-,1,,13,,23,,20,,60,,"ARIZONA
(34.869712, -111.760902)",
MARYLAND,2017,5,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,1,,8,,22,,12,,44,,"MARYLAND
(39.290443, -76.612333)",
