 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
NEVADA,2017,3,,-,3,,9,,,-,9,,,-,1,,4,,,-,3,,,-,1,,10,,,-,4,,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,3,2,,8,,23,,13,,17,,,-,3,,14,,,-,3,,1,,1,,9,,4,,21,,"OREGON
(44.567912, -120.156945)",
TEXAS,2017,3,8,,103,,242,,21,,100,,1,,17,,36,,6,,13,,13,,79,,130,,24,,152,,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2017,3,,-,28,,92,,,-,63,,,-,1,,4,,,-,4,,,-,9,,28,,,-,16,,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2017,3,,-,5,,18,,4,,16,,,-,0,,3,,,-,,-,,-,0,,5,,1,,2,,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,3,1,,6,,12,,12,,25,,,-,2,,5,,2,,1,,,-,1,,5,,,-,2,,"UTAH
(39.359772, -111.584173)",
DIST. OF COL.,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2017,3,,-,15,,30,,1,,22,,,-,4,,13,,,-,8,,1,,12,,40,,12,,60,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,3,5,,14,,52,,12,,11,,,-,2,,14,,,-,1,,3,,9,,68,,4,,25,,"OKLAHOMA
(35.468494, -97.521264)",
PUERTO RICO,2017,3,,-,10,,21,,1,,50,,,-,0,,0,,,-,,-,,-,0,,4,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2017,3,,-,1,,10,,1,,5,,,-,1,,3,,3,,1,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2017,3,,-,6,,17,,4,,19,,,-,1,,6,,,-,,-,,-,2,,22,,2,,3,,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2017,3,,-,22,,56,,11,,40,,,-,2,,7,,1,,7,,,-,3,,8,,1,,5,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2017,3,51,,107,,213,,177,,275,,2,,3,,8,,7,,12,,13,,14,,32,,34,,49,,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2017,3,,-,4,,107,,,-,9,,,-,1,,9,,,-,1,,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,3,7,,21,,44,,12,,23,,,-,2,,8,,,-,1,,1,,7,,15,,4,,11,,"VIRGINIA
(37.542699, -78.45822)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2017,3,,-,2,,7,,1,,4,,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2017,3,,-,9,,77,,,-,17,,,-,1,,5,,1,,8,,,-,4,,14,,11,,21,,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2017,3,2,,3,,10,,6,,13,,3,,3,,13,,5,,6,,,-,0,,4,,1,,6,,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,3,,-,1,,5,,2,,3,,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WYOMING,2017,3,,-,1,,5,,2,,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MICHIGAN,2017,3,,-,18,,35,,,-,31,,,-,3,,10,,1,,7,,,-,9,,25,,4,,31,,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2017,3,4,,4,,14,,8,,11,,2,,2,,10,,4,,9,,1,,3,,14,,4,,9,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2017,3,,-,2,,10,,1,,3,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2017,3,,-,2,,16,,2,,2,,,-,0,,2,,,-,,-,,-,1,,4,,4,,1,,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2017,3,8,,10,,41,,21,,36,,,-,0,,2,,1,,,-,4,,4,,16,,9,,4,,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,3,21,,26,,68,,49,,69,,1,,4,,14,,6,,5,,16,,21,,41,,56,,111,,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,3,,-,3,,9,,,-,5,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,3,21,,22,,48,,44,,99,,,-,0,,3,,1,,2,,1,,4,,10,,7,,23,,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2017,3,3,,18,,57,,22,,34,,,-,0,,2,,1,,,-,,-,1,,5,,7,,3,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,3,9,,16,,34,,34,,39,,,-,3,,8,,3,,5,,5,,22,,49,,21,,93,,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2017,3,,-,13,,30,,1,,5,,,-,2,,37,,,-,,-,,-,3,,11,,,-,3,,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2017,3,1,,13,,58,,17,,46,,1,,4,,21,,1,,8,,,-,6,,31,,3,,39,,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2017,3,5,,13,,45,,8,,8,,,-,1,,7,,,-,1,,1,,2,,12,,3,,7,,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,3,,-,18,,42,,,-,43,,,-,5,,19,,,-,9,,,-,12,,75,,,-,136,,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,3,8,,13,,33,,30,,18,,,-,4,,11,,,-,7,,6,,3,,16,,12,,3,,"COLORADO
(38.841772, -106.132562)",
WYOMING,2017,5,,-,1,,5,,3,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,4,210,,859,,1625,,1217,,2422,,21,,134,,259,,136,,307,,123,,379,,481,,550,,1684,,,
NEW ENGLAND,2017,4,8,,38,,80,,69,,101,,1,,5,,38,,9,,14,,2,,5,,13,,17,,14,,,
MID. ATLANTIC,2017,4,16,,81,,197,,92,,206,,4,,14,,30,,19,,43,,13,,27,,52,,41,,113,,,
NEW YORK CITY,2017,4,12,,19,,42,,46,,43,,4,,2,,9,,9,,8,,11,,8,,17,,29,,37,,,
E.N. CENTRAL,2017,4,20,,101,,191,,80,,287,,3,,15,,85,,15,,44,,34,,62,,101,,119,,353,,,
W.N. CENTRAL,2017,4,10,,47,,202,,91,,157,,4,,17,,41,,16,,32,,6,,26,,70,,36,,268,,,
S. ATLANTIC,2017,4,81,,215,,498,,379,,685,,1,,11,,29,,21,,34,,18,,52,,83,,98,,225,,,
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
E.S. CENTRAL,2017,4,17,,72,,205,,135,,220,,4,,6,,14,,20,,29,,14,,14,,28,,53,,78,,,
W.S. CENTRAL,2017,4,22,,146,,283,,111,,256,,2,,23,,39,,11,,28,,23,,107,,162,,69,,301,,,
MOUNTAIN,2017,4,27,,50,,97,,141,,173,,2,,16,,34,,16,,32,,8,,33,,56,,51,,156,,,
PACIFIC,2017,4,9,,112,,187,,119,,337,,,-,21,,63,,9,,51,,5,,44,,78,,66,,176,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2017,4,,-,28,,92,,,-,80,,,-,1,,4,,,-,4,,,-,9,,28,,,-,26,,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH DAKOTA,2017,4,,-,3,,107,,2,,14,,,-,1,,9,,,-,1,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2017,4,,-,6,,17,,8,,22,,,-,1,,5,,1,,,-,,-,3,,22,,5,,3,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,4,,-,32,,63,,,-,99,,,-,3,,60,,,-,14,,,-,9,,22,,1,,62,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,4,,-,2,,16,,2,,4,,,-,0,,2,,,-,,-,,-,1,,4,,4,,1,,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,4,14,,17,,34,,63,,51,,2,,3,,8,,6,,6,,4,,22,,49,,29,,128,,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2017,4,,-,2,,10,,1,,6,,,-,0,,2,,,-,1,,,-,0,,1,,1,,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2017,4,10,,18,,105,,30,,46,,3,,4,,9,,14,,18,,2,,3,,13,,10,,19,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,4,,-,25,,66,,6,,51,,,-,4,,16,,1,,8,,,-,4,,12,,2,,17,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,4,1,,8,,23,,18,,23,,,-,3,,16,,2,,7,,,-,1,,8,,6,,29,,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,4,7,,21,,55,,46,,50,,1,,2,,7,,7,,8,,1,,3,,8,,11,,10,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2017,4,,-,3,,9,,2,,8,,,-,0,,3,,1,,,-,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,4,7,,18,,42,,41,,50,,3,,5,,19,,6,,11,,5,,12,,47,,22,,181,,"MISSOURI
(38.636168, -92.566292)",
ALASKA,2017,4,1,,1,,5,,3,,5,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2017,4,6,,42,,156,,52,,98,,,-,2,,9,,8,,3,,1,,12,,29,,15,,69,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2017,4,2,,21,,44,,16,,32,,,-,2,,8,,1,,1,,1,,7,,15,,5,,17,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,4,,-,10,,28,,2,,24,,,-,1,,8,,2,,5,,,-,4,,14,,2,,29,,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2017,4,,-,3,,10,,4,,7,,,-,0,,3,,,-,3,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2017,4,,-,8,,22,,17,,31,,,-,1,,34,,1,,3,,,-,1,,4,,3,,1,,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2017,4,1,,6,,12,,18,,30,,,-,2,,5,,3,,1,,,-,1,,5,,,-,3,,"UTAH
(39.359772, -111.584173)",
TEXAS,2017,4,11,,103,,264,,56,,167,,1,,17,,36,,8,,25,,18,,79,,130,,44,,228,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2017,4,,-,9,,21,,1,,59,,,-,0,,0,,,-,,-,,-,0,,4,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2017,4,3,,9,,41,,24,,57,,,-,0,,2,,1,,,-,,-,4,,16,,9,,11,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2017,4,,-,13,,58,,17,,53,,,-,4,,21,,1,,9,,,-,6,,31,,3,,44,,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,4,8,,14,,38,,34,,46,,,-,1,,5,,1,,6,,7,,3,,9,,17,,9,,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2017,4,,-,2,,6,,1,,1,,,-,0,,2,,,-,,-,1,,0,,4,,1,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,4,57,,107,,213,,234,,348,,1,,3,,8,,8,,13,,7,,14,,32,,41,,69,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2017,4,2,,18,,35,,9,,47,,,-,3,,10,,4,,8,,,-,10,,31,,8,,34,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2017,4,1,,3,,10,,7,,13,,,-,3,,13,,5,,8,,,-,0,,4,,1,,8,,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,4,,-,3,,9,,,-,14,,,-,1,,4,,1,,4,,,-,1,,10,,,-,5,,"NEVADA
(39.491833, -117.070159)",
KANSAS,2017,4,,-,8,,25,,13,,17,,,-,2,,7,,1,,1,,1,,4,,14,,7,,26,,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,4,5,,14,,52,,19,,16,,1,,2,,14,,1,,1,,5,,9,,68,,9,,49,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2017,4,8,,17,,68,,37,,69,,,-,0,,2,,3,,3,,2,,3,,10,,16,,32,,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2017,4,,-,5,,18,,9,,21,,,-,0,,3,,,-,1,,,-,0,,5,,1,,2,,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2017,4,5,,13,,34,,8,,12,,,-,2,,37,,,-,,-,3,,3,,11,,4,,5,,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,4,18,,26,,68,,67,,82,,3,,4,,14,,9,,6,,34,,20,,41,,90,,142,,"OHIO
(40.056807, -82.405897)",
COLORADO,2017,4,11,,13,,33,,41,,31,,,-,4,,11,,,-,9,,4,,3,,16,,16,,6,,"COLORADO
(38.841772, -106.132562)",
PENNSYLVANIA,2017,4,4,,25,,63,,38,,48,,,-,4,,13,,9,,13,,2,,10,,30,,9,,36,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2017,4,3,,22,,48,,54,,113,,,-,0,,3,,3,,2,,3,,4,,10,,11,,31,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2017,4,,-,2,,10,,4,,6,,,-,1,,3,,3,,1,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2017,4,,-,15,,30,,2,,35,,,-,4,,13,,,-,11,,,-,12,,40,,18,,86,,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,4,3,,13,,45,,12,,16,,,-,1,,7,,1,,2,,,-,2,,12,,7,,13,,"ARKANSAS
(34.748745, -92.275105)",
NEBRASKA,2017,4,3,,4,,14,,14,,17,,1,,2,,10,,5,,9,,,-,2,,14,,4,,13,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,4,,-,10,,77,,17,,20,,1,,1,,5,,2,,8,,6,,5,,14,,20,,24,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2017,4,4,,18,,57,,34,,41,,,-,0,,2,,1,,1,,3,,2,,5,,12,,4,,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,4,1,,2,,7,,2,,5,,,-,0,,3,,,-,2,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2017,4,,-,15,,55,,2,,64,,,-,2,,7,,,-,14,,,-,4,,10,,1,,23,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,4,2,,85,,150,,81,,276,,,-,15,,34,,6,,43,,2,,36,,70,,54,,140,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,4,,-,1,,5,,2,,4,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
MONTANA,2017,4,,-,3,,8,,2,,8,,,-,2,,15,,,-,4,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,5,215,,859,,1627,,1653,,2939,,27,,134,,259,,196,,378,,90,,377,,480,,760,,2121,,,
NEW ENGLAND,2017,5,,-,38,,80,,75,,120,,,-,5,,38,,9,,15,,,-,5,,13,,18,,18,,,
MID. ATLANTIC,2017,5,26,,81,,197,,125,,252,,4,,14,,30,,27,,48,,9,,27,,52,,53,,134,,,
NEW YORK CITY,2017,5,15,,19,,42,,61,,54,,3,,2,,9,,12,,8,,6,,8,,17,,35,,44,,,
E.N. CENTRAL,2017,5,8,,101,,191,,113,,353,,3,,15,,85,,18,,58,,21,,60,,101,,155,,448,,,
W.N. CENTRAL,2017,5,7,,47,,202,,115,,179,,2,,17,,41,,28,,42,,,-,26,,70,,43,,313,,,
S. ATLANTIC,2017,5,92,,215,,498,,500,,800,,2,,12,,29,,28,,41,,12,,51,,83,,134,,276,,,
E.S. CENTRAL,2017,5,8,,71,,205,,164,,256,,1,,6,,14,,22,,33,,9,,15,,28,,80,,89,,,
W.S. CENTRAL,2017,5,48,,146,,311,,217,,352,,1,,23,,39,,15,,38,,25,,103,,162,,109,,427,,,
MOUNTAIN,2017,5,22,,51,,98,,173,,203,,12,,16,,34,,29,,42,,11,,33,,56,,69,,201,,,
PACIFIC,2017,5,4,,113,,187,,171,,424,,2,,21,,65,,20,,61,,3,,43,,76,,99,,215,,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ALASKA,2017,5,,-,1,,5,,3,,5,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
MONTANA,2017,5,1,,3,,8,,4,,9,,,-,2,,15,,,-,6,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,5,7,,14,,38,,41,,54,,,-,1,,5,,1,,6,,4,,3,,9,,21,,12,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2017,5,,-,25,,66,,6,,64,,,-,4,,16,,1,,11,,,-,4,,12,,2,,19,,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2017,5,1,,3,,10,,5,,9,,,-,0,,3,,,-,3,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
INDIANA,2017,5,,-,10,,28,,5,,33,,,-,1,,8,,2,,5,,,-,4,,14,,3,,35,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2017,5,3,,4,,14,,18,,18,,2,,2,,10,,9,,10,,,-,2,,14,,4,,17,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MASSACHUSETTS,2017,5,,-,21,,55,,46,,58,,,-,2,,7,,7,,8,,,-,3,,8,,11,,13,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2017,5,3,,13,,45,,20,,22,,,-,1,,7,,2,,3,,5,,2,,13,,17,,18,,"ARKANSAS
(34.748745, -92.275105)",
VIRGINIA,2017,5,7,,22,,44,,24,,41,,,-,2,,8,,2,,1,,1,,7,,15,,7,,19,,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2017,5,,-,1,,10,,1,,8,,,-,0,,2,,,-,2,,,-,0,,1,,1,,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2017,5,,-,15,,30,,3,,51,,1,,4,,13,,1,,16,,1,,11,,40,,30,,118,,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2017,5,,-,15,,55,,2,,70,,,-,2,,7,,,-,14,,,-,4,,10,,1,,29,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,5,,-,10,,77,,17,,27,,,-,1,,5,,2,,9,,1,,5,,14,,24,,28,,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2017,5,25,,103,,287,,118,,230,,1,,17,,36,,11,,34,,13,,79,,130,,63,,323,,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2017,5,,-,3,,107,,3,,18,,,-,1,,9,,,-,4,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2017,5,,-,3,,9,,1,,15,,,-,1,,4,,1,,4,,,-,0,,10,,,-,5,,"NEVADA
(39.491833, -117.070159)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALABAMA,2017,5,1,,22,,48,,63,,124,,,-,0,,3,,3,,2,,3,,4,,10,,23,,37,,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2017,5,,-,3,,9,,4,,10,,,-,0,,3,,1,,,-,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2017,5,1,,86,,150,,129,,343,,,-,15,,36,,15,,53,,3,,35,,69,,87,,166,,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,5,15,,42,,157,,86,,115,,,-,2,,9,,11,,4,,3,,12,,29,,35,,83,,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,5,2,,13,,58,,31,,59,,,-,4,,21,,8,,11,,,-,6,,31,,5,,51,,"IOWA
(42.46942, -93.815856)",
KANSAS,2017,5,1,,8,,25,,17,,21,,,-,2,,7,,2,,3,,,-,4,,14,,12,,40,,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2017,5,11,,25,,63,,56,,64,,1,,4,,13,,14,,15,,3,,10,,30,,15,,42,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,5,1,,19,,57,,42,,49,,,-,0,,2,,1,,2,,2,,2,,5,,14,,4,,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,5,2,,11,,25,,23,,65,,,-,0,,0,,,-,,-,,-,0,,4,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,5,,-,2,,6,,1,,2,,,-,0,,2,,,-,,-,,-,0,,4,,1,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2017,5,,-,18,,35,,9,,54,,,-,3,,10,,4,,10,,,-,10,,31,,8,,36,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2017,5,,-,31,,63,,21,,120,,,-,3,,60,,,-,17,,,-,9,,22,,5,,76,,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,5,54,,107,,213,,287,,409,,2,,3,,8,,10,,18,,4,,14,,32,,45,,84,,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH CAROLINA,2017,5,,-,28,,93,,8,,90,,,-,1,,4,,1,,4,,,-,9,,28,,5,,38,,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2017,5,14,,10,,41,,55,,77,,,-,0,,2,,1,,,-,6,,4,,16,,19,,18,,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,5,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,5,,-,8,,22,,21,,35,,,-,1,,34,,1,,3,,,-,1,,4,,4,,2,,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2017,5,3,,8,,23,,21,,31,,2,,3,,16,,4,,7,,,-,1,,7,,6,,35,,"OREGON
(44.567912, -120.156945)",
UTAH,2017,5,,-,6,,12,,19,,36,,,-,2,,5,,3,,1,,,-,1,,5,,,-,4,,"UTAH
(39.359772, -111.584173)",
ARIZONA,2017,5,9,,17,,34,,73,,55,,3,,3,,8,,9,,6,,2,,21,,49,,37,,168,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,5,8,,17,,68,,47,,77,,,-,0,,2,,3,,4,,,-,3,,10,,17,,37,,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2017,5,9,,12,,33,,50,,43,,7,,4,,11,,7,,15,,9,,3,,16,,25,,8,,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2017,5,,-,13,,34,,8,,19,,,-,2,,37,,,-,,-,,-,3,,11,,4,,9,,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,5,,-,2,,17,,2,,4,,,-,0,,2,,,-,,-,,-,1,,4,,4,,1,,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2017,5,1,,2,,10,,5,,6,,,-,1,,3,,3,,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2017,5,,-,6,,17,,10,,25,,,-,1,,5,,1,,,-,,-,3,,22,,6,,4,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2017,5,,-,18,,42,,41,,57,,,-,5,,19,,6,,12,,,-,11,,47,,22,,201,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,5,6,,14,,52,,24,,23,,,-,2,,14,,1,,1,,1,,8,,68,,10,,68,,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2017,5,3,,3,,10,,13,,16,,2,,3,,13,,8,,9,,,-,0,,4,,1,,9,,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,5,6,,18,,105,,42,,56,,1,,3,,9,,16,,20,,3,,4,,13,,19,,20,,"TENNESSEE
(35.681402, -85.774444)",
