Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
NEW HAMPSHIRE,2017,3,1,,2,,6,,7,,8,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2017,4,245,,292,,530,,1414,,1577,,1,,0,,6,,8,,3,,,
NEW ENGLAND,2017,4,16,,20,,39,,100,,105,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,4,54,,41,,80,,210,,195,,1,,0,,1,,2,,,-,,
NEW YORK CITY,2017,4,20,,13,,28,,95,,59,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,45,,48,,98,,259,,306,,,-,0,,1,,1,,,-,,
W.N. CENTRAL,2017,4,18,,15,,35,,98,,75,,,-,0,,4,,4,,1,,,
S. ATLANTIC,2017,4,38,,51,,123,,275,,301,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,4,24,,34,,69,,171,,170,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,4,17,,37,,149,,104,,158,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,4,31,,35,,78,,185,,251,,,-,0,,1,,,-,1,,,
PACIFIC,2017,4,2,,4,,10,,12,,16,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MASSACHUSETTS,2017,4,13,,11,,25,,68,,49,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2017,4,,-,5,,12,,11,,33,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,4,,-,2,,5,,4,,6,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WYOMING,2017,4,,-,0,,3,,3,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2017,4,27,,17,,46,,71,,80,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2017,4,,-,5,,16,,18,,31,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2017,4,,-,4,,19,,10,,15,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2017,4,17,,17,,37,,101,,85,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2017,4,4,,3,,8,,13,,24,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2017,4,2,,1,,10,,5,,9,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IOWA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,4,7,,8,,22,,54,,52,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2017,4,,-,4,,9,,7,,23,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2017,4,11,,5,,16,,54,,20,,,-,0,,4,,4,,,-,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,4,10,,10,,59,,49,,87,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2017,4,15,,7,,39,,95,,34,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2017,4,,-,10,,30,,16,,55,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,4,33,,18,,53,,147,,120,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
DELAWARE,2017,4,1,,1,,5,,7,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OREGON,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,4,1,,2,,9,,12,,14,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2017,4,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,4,,-,1,,4,,2,,4,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,4,17,,28,,120,,76,,112,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2017,4,1,,5,,15,,27,,28,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2017,4,6,,4,,13,,27,,22,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2017,4,2,,2,,8,,8,,10,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2017,4,5,,9,,24,,42,,54,,1,,0,,1,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,4,2,,13,,29,,31,,93,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,4,2,,4,,10,,12,,25,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ARIZONA,2017,4,18,,11,,37,,89,,95,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2017,4,1,,1,,5,,8,,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,4,9,,9,,19,,46,,54,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2017,4,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,4,2,,2,,9,,9,,10,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,4,,-,3,,9,,5,,35,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2017,4,,-,2,,6,,8,,10,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,4,1,,7,,25,,32,,30,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2017,4,2,,0,,1,,2,,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2017,4,,-,4,,9,,14,,20,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2017,4,,-,4,,17,,12,,24,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2017,4,10,,7,,21,,65,,38,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2017,4,5,,16,,38,,56,,88,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,4,1,,1,,6,,3,,7,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,5,227,,295,,554,,1756,,1970,,1,,0,,7,,13,,5,,,
NEW ENGLAND,2017,5,4,,21,,40,,114,,129,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,5,56,,41,,80,,271,,241,,1,,0,,4,,6,,1,,,
NEW YORK CITY,2017,5,18,,13,,29,,114,,72,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,5,33,,49,,98,,320,,393,,,-,0,,1,,1,,1,,,
W.N. CENTRAL,2017,5,4,,15,,36,,105,,90,,,-,0,,4,,4,,1,,,
S. ATLANTIC,2017,5,45,,51,,123,,343,,365,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,5,12,,34,,69,,197,,213,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,5,39,,37,,159,,163,,206,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,5,34,,35,,78,,230,,313,,,-,0,,1,,1,,1,,,
PACIFIC,2017,5,,-,4,,10,,13,,20,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2017,5,9,,9,,19,,55,,69,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2017,5,,-,4,,9,,10,,28,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
GEORGIA,2017,5,5,,18,,38,,77,,118,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
CALIFORNIA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,5,3,,3,,8,,16,,30,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2017,5,8,,7,,39,,106,,41,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2017,5,,-,4,,9,,17,,27,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,5,,-,3,,9,,5,,41,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,5,7,,7,,21,,78,,52,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,5,11,,17,,38,,117,,102,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2017,5,5,,8,,22,,59,,56,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,5,,-,5,,16,,54,,21,,,-,0,,4,,4,,,-,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2017,5,,-,11,,25,,68,,60,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2017,5,,-,7,,25,,36,,40,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,5,17,,9,,24,,61,,67,,1,,0,,2,,4,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2017,5,3,,4,,10,,18,,35,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,5,2,,0,,4,,6,,2,,,-,0,,2,,2,,,-,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2017,5,,-,1,,7,,5,,8,,,-,0,,1,,1,,1,,"MONTANA
(47.062617, -109.430168)",
DIST. OF COL.,2017,5,,-,1,,4,,2,,5,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2017,5,19,,17,,51,,90,,100,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
INDIANA,2017,5,,-,10,,30,,25,,85,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2017,5,1,,0,,2,,1,,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2017,5,,-,1,,6,,9,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
RHODE ISLAND,2017,5,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2017,5,3,,2,,6,,17,,14,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2017,5,,-,5,,16,,18,,41,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW MEXICO,2017,5,2,,5,,15,,34,,34,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2017,5,,-,1,,5,,8,,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,5,,-,2,,8,,8,,13,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2017,5,,-,1,,10,,5,,12,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,5,5,,4,,24,,28,,25,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2017,5,34,,28,,125,,117,,140,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
HAWAII,2017,5,,-,1,,5,,5,,7,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2017,5,1,,2,,9,,10,,10,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2017,5,20,,11,,37,,110,,119,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2017,5,3,,4,,17,,17,,27,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,5,2,,13,,29,,46,,104,,,-,0,,1,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,5,24,,18,,53,,171,,152,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IOWA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,5,,-,4,,13,,27,,26,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,5,23,,10,,59,,72,,106,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MAINE,2017,5,1,,2,,9,,14,,15,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2017,5,1,,5,,12,,17,,45,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,5,,-,0,,3,,3,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,6,212,,296,,559,,2093,,2395,,,-,0,,6,,13,,5,,,
NEW ENGLAND,2017,6,4,,20,,43,,123,,148,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,6,42,,41,,80,,321,,284,,,-,0,,4,,6,,,-,,
NEW YORK CITY,2017,6,12,,14,,29,,127,,92,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,6,7,,49,,98,,343,,472,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,6,17,,15,,42,,145,,112,,,-,0,,3,,3,,1,,,
S. ATLANTIC,2017,6,56,,51,,123,,423,,439,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,6,12,,34,,69,,238,,260,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,6,35,,37,,161,,205,,275,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,6,35,,35,,78,,273,,378,,,-,0,,1,,1,,1,,,
PACIFIC,2017,6,4,,4,,10,,22,,27,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
VERMONT,2017,6,,-,1,,10,,6,,13,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2017,6,,-,4,,10,,18,,39,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW YORK,2017,6,25,,17,,51,,115,,110,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,6,,-,18,,53,,171,,178,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,6,1,,0,,8,,13,,2,,,-,0,,2,,2,,,-,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,6,8,,17,,38,,89,,148,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2017,6,21,,10,,59,,93,,116,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2017,6,5,,7,,21,,84,,63,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,6,28,,28,,127,,151,,192,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEVADA,2017,6,,-,3,,9,,6,,48,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2017,6,7,,4,,24,,36,,31,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,6,4,,2,,5,,12,,10,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2017,6,,-,2,,6,,17,,16,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,6,,-,11,,25,,68,,66,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
PENNSYLVANIA,2017,6,4,,9,,24,,66,,80,,,-,0,,3,,4,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,6,,-,4,,9,,10,,35,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,6,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,6,13,,9,,19,,68,,86,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2017,6,,-,0,,3,,3,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,6,14,,8,,39,,130,,51,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,6,22,,11,,37,,130,,150,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,6,2,,14,,29,,63,,133,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2017,6,11,,18,,38,,145,,123,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,6,,-,9,,26,,25,,98,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,6,6,,2,,9,,16,,14,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,6,,-,4,,9,,26,,36,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,6,,-,2,,8,,10,,17,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2017,6,1,,6,,25,,46,,48,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,6,4,,5,,18,,67,,25,,,-,0,,3,,3,,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2017,6,,-,1,,7,,6,,10,,,-,0,,1,,1,,1,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2017,6,,-,4,,13,,27,,37,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,6,9,,8,,22,,71,,66,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,6,1,,2,,5,,13,,4,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2017,6,2,,1,,8,,5,,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2017,6,1,,4,,17,,25,,37,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,6,,-,5,,15,,42,,38,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,6,,-,4,,11,,20,,52,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2017,6,3,,1,,6,,12,,10,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DIST. OF COL.,2017,6,,-,1,,4,,2,,8,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2017,6,2,,2,,9,,17,,18,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,6,6,,3,,8,,23,,33,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,6,,-,5,,16,,18,,52,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UNITED STATES,2017,7,240,,295,,564,,2474,,2835,,,-,0,,6,,13,,8,,,
NEW ENGLAND,2017,7,1,,20,,44,,127,,187,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,7,51,,41,,80,,376,,335,,,-,0,,4,,6,,3,,,
NEW YORK CITY,2017,7,22,,13,,29,,149,,113,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,26,,49,,101,,425,,541,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,7,25,,16,,42,,182,,132,,,-,0,,3,,3,,1,,,
S. ATLANTIC,2017,7,43,,51,,123,,481,,517,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,7,25,,34,,69,,274,,302,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,7,22,,37,,162,,248,,339,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,7,45,,35,,78,,334,,451,,,-,0,,1,,1,,1,,,
PACIFIC,2017,7,2,,4,,10,,27,,31,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
