Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week","Invasive Pneumococcal Disease§, Age LT 5, Probable, Current week, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, Age LT 5, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016","Invasive Pneumococcal Disease§, Age LT 5, Probable, Cum 2016, flag",Location 1,Location 2
ALASKA,2017,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,3,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,4,10,,19,,35,,56,,74,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,4,,-,1,,4,,1,,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,4,,-,2,,7,,6,,6,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,4,,-,1,,2,,3,,1,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,2,,2,,6,,12,,17,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,4,,-,1,,4,,4,,2,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,4,3,,4,,9,,12,,18,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,4,1,,2,,8,,6,,7,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,4,1,,4,,13,,8,,3,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,4,3,,2,,6,,7,,16,,,-,0,,1,,,-,,-,,
PACIFIC,2017,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2017,4,,-,0,,3,,1,,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2017,4,1,,1,,5,,5,,10,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,4,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2017,4,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2017,4,,-,0,,3,,1,,3,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2017,4,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MONTANA,2017,4,1,,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,4,1,,0,,2,,3,,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2017,4,,-,0,,5,,1,,2,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2017,4,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
IOWA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2017,4,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WASHINGTON,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2017,4,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,4,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2017,4,,-,0,,3,,1,,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2017,4,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,4,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,4,1,,3,,9,,4,,2,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
COLORADO,2017,4,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2017,4,,-,0,,3,,2,,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW HAMPSHIRE,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2017,4,,-,0,,4,,,-,5,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
RHODE ISLAND,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2017,4,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,4,,-,1,,5,,3,,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TENNESSEE,2017,4,1,,1,,7,,4,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2017,4,1,,0,,1,,1,,1,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW YORK,2017,4,,-,1,,6,,2,,5,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2017,4,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2017,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2017,4,2,,0,,3,,3,,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2017,4,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,4,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OHIO,2017,4,1,,1,,5,,9,,11,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,4,1,,1,,4,,1,,8,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
UNITED STATES,2017,5,13,,20,,35,,72,,109,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,5,,-,1,,4,,2,,8,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,5,1,,1,,8,,8,,10,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,5,,-,1,,2,,4,,2,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,5,2,,2,,6,,15,,21,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,5,1,,1,,4,,5,,3,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,5,4,,4,,9,,16,,26,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,5,,-,2,,8,,6,,8,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,5,4,,4,,13,,12,,11,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,5,1,,2,,6,,8,,20,,,-,0,,1,,,-,,-,,
PACIFIC,2017,5,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARIZONA,2017,5,,-,1,,3,,1,,11,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,5,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
VERMONT,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,5,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW YORK,2017,5,1,,1,,7,,3,,7,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2017,5,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,5,,-,0,,3,,2,,2,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2017,5,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2017,5,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
HAWAII,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2017,5,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2017,5,,-,0,,3,,3,,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PENNSYLVANIA,2017,5,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2017,5,,-,0,,3,,1,,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,5,1,,0,,2,,1,,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,5,4,,3,,9,,8,,5,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2017,5,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2017,5,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2017,5,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,5,,-,0,,3,,1,,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2017,5,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,5,,-,0,,5,,1,,2,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,5,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2017,5,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MONTANA,2017,5,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,5,3,,1,,5,,8,,13,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2017,5,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,5,,-,1,,5,,3,,5,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2017,5,1,,0,,2,,4,,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2017,5,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,5,1,,0,,2,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,5,1,,1,,5,,10,,13,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2017,5,,-,1,,7,,4,,3,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2017,5,,-,0,,4,,1,,5,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
IOWA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
COLORADO,2017,5,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
UTAH,2017,5,1,,0,,3,,2,,3,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,5,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2017,6,10,,19,,34,,89,,134,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,6,,-,1,,4,,2,,9,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,6,1,,1,,8,,10,,13,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,6,,-,1,,2,,5,,3,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,6,,-,2,,6,,15,,25,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,6,,-,1,,4,,8,,4,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,6,2,,4,,9,,18,,31,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,6,1,,2,,8,,8,,10,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,6,4,,4,,13,,16,,15,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,6,2,,2,,6,,11,,25,,,-,0,,1,,,-,,-,,
PACIFIC,2017,6,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
KANSAS,2017,6,,-,0,,2,,3,,1,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2017,6,,-,0,,2,,3,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2017,6,1,,1,,7,,5,,4,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PENNSYLVANIA,2017,6,,-,0,,3,,1,,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WASHINGTON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2017,6,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW YORK,2017,6,1,,1,,7,,4,,7,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2017,6,,-,0,,2,,4,,3,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,6,,-,0,,1,,2,,1,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2017,6,1,,1,,5,,9,,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2017,6,,-,0,,3,,2,,3,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MAINE,2017,6,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,6,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2017,6,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2017,6,4,,3,,9,,12,,9,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,6,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,6,1,,1,,3,,2,,14,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
OKLAHOMA,2017,6,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2017,6,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,6,1,,1,,5,,4,,7,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2017,6,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2017,6,,-,0,,3,,1,,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,6,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2017,6,,-,0,,4,,1,,6,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MONTANA,2017,6,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2017,6,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2017,6,,-,0,,3,,2,,2,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2017,6,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2017,6,,-,0,,2,,1,,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,6,1,,0,,3,,4,,1,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,6,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MARYLAND,2017,6,,-,0,,3,,3,,4,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,6,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
HAWAII,2017,6,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2017,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2017,6,,-,0,,5,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2017,6,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2017,6,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2017,6,,-,1,,5,,10,,15,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VIRGINIA,2017,6,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,7,16,,18,,34,,111,,163,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2017,7,,-,1,,4,,2,,11,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,7,2,,1,,8,,12,,17,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,7,,-,0,,2,,5,,4,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,2,,2,,6,,18,,27,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,7,,-,1,,4,,8,,8,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,7,5,,4,,9,,23,,35,,,-,0,,0,,,-,,-,,
E.S. CENTRAL,2017,7,2,,2,,8,,11,,14,,,-,0,,1,,,-,,-,,
