 Reporting Area,MMWR Year,MMWR Week,"Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2017","Legionellosis, Cum 2017, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2017","Malaria, Cum 2017, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag",Location 1,Location 2
DELAWARE,2017,4,,-,0,,2,,,-,3,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MONTANA,2017,4,,-,0,,1,,2,,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2017,4,,-,1,,10,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IOWA,2017,4,,-,1,,2,,1,,2,,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,4,,-,3,,24,,6,,7,,,-,0,,4,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
TEXAS,2017,4,1,,4,,16,,7,,7,,3,,2,,16,,4,,8,,"TEXAS
(31.827233, -99.423022)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,4,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,4,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,3,,1,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WYOMING,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,4,1,,1,,4,,5,,2,,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2017,4,1,,2,,11,,4,,4,,,-,1,,6,,3,,5,,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,4,,-,2,,12,,1,,7,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
TENNESSEE,2017,4,,-,2,,7,,10,,9,,,-,0,,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2017,4,,-,1,,6,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2017,4,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2017,4,,-,1,,3,,5,,6,,,-,1,,4,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2017,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2017,4,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2017,4,1,,1,,3,,3,,1,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
OHIO,2017,4,4,,8,,32,,39,,30,,,-,1,,13,,4,,1,,"OHIO
(40.056807, -82.405897)",
OKLAHOMA,2017,4,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2017,4,,-,1,,6,,2,,2,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2017,4,,-,0,,3,,,-,2,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,4,,-,2,,7,,,-,6,,,-,1,,7,,2,,4,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,4,,-,4,,11,,2,,13,,,-,1,,4,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,4,1,,2,,6,,8,,2,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,4,,-,7,,26,,2,,17,,2,,1,,8,,5,,2,,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,4,,-,0,,3,,1,,,-,,-,0,,2,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IDAHO,2017,4,,-,0,,1,,,-,3,,,-,0,,1,,1,,,-,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2017,4,,-,9,,18,,9,,39,,,-,2,,7,,,-,5,,"CALIFORNIA
(37.640735, -121.002435)",
WEST VIRGINIA,2017,4,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2017,4,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2017,4,,-,0,,6,,2,,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSISSIPPI,2017,4,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,4,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,4,6,,5,,13,,26,,22,,2,,1,,4,,4,,5,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2017,4,1,,6,,19,,17,,14,,,-,1,,5,,3,,3,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2017,4,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2017,4,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2017,4,,-,2,,13,,5,,9,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2017,4,,-,3,,7,,2,,3,,1,,1,,4,,5,,5,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2017,4,,-,1,,4,,3,,3,,,-,0,,3,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2017,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,4,3,,3,,6,,9,,8,,10,,3,,10,,17,,5,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,4,,-,2,,6,,1,,11,,,-,1,,5,,3,,6,,"GEORGIA
(32.836038, -83.631709)",
ILLINOIS,2017,4,,-,4,,17,,4,,15,,,-,1,,5,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,4,,-,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
UNITED STATES,2017,5,30,,102,,208,,260,,348,,11,,33,,85,,101,,111,,,
NEW ENGLAND,2017,5,,-,4,,21,,8,,11,,,-,2,,7,,3,,13,,,
MID. ATLANTIC,2017,5,8,,20,,64,,55,,88,,5,,9,,24,,33,,29,,,
NEW YORK CITY,2017,5,4,,4,,31,,31,,41,,3,,4,,17,,16,,13,,,
E.N. CENTRAL,2017,5,3,,20,,69,,57,,75,,1,,3,,25,,7,,10,,,
W.N. CENTRAL,2017,5,1,,5,,24,,11,,13,,,-,1,,5,,3,,2,,,
S. ATLANTIC,2017,5,9,,19,,34,,57,,72,,4,,9,,26,,36,,34,,,
E.S. CENTRAL,2017,5,3,,5,,13,,25,,14,,,-,1,,3,,2,,4,,,
W.S. CENTRAL,2017,5,4,,6,,27,,17,,14,,,-,2,,16,,6,,10,,,
MOUNTAIN,2017,5,2,,3,,10,,15,,16,,1,,2,,5,,6,,2,,,
PACIFIC,2017,5,,-,10,,24,,15,,45,,,-,3,,9,,5,,7,,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
TENNESSEE,2017,5,,-,2,,7,,9,,10,,,-,0,,2,,1,,1,,"TENNESSEE
(35.681402, -85.774444)",
PUERTO RICO,2017,5,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UTAH,2017,5,,-,0,,3,,,-,2,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
OHIO,2017,5,3,,8,,32,,42,,35,,1,,1,,13,,5,,3,,"OHIO
(40.056807, -82.405897)",
FLORIDA,2017,5,9,,5,,13,,34,,27,,,-,1,,4,,4,,5,,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,5,,-,0,,2,,,-,3,,,-,0,,2,,1,,1,,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2017,5,,-,1,,10,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,5,,-,3,,7,,9,,9,,4,,3,,10,,21,,5,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2017,5,,-,7,,26,,2,,22,,1,,1,,8,,6,,3,,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,5,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,5,,-,0,,3,,2,,,-,,-,0,,2,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,5,,-,4,,11,,4,,15,,,-,1,,4,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGIN ISL.,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2017,5,,-,2,,12,,4,,7,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2017,5,,-,1,,3,,3,,1,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,5,,-,0,,1,,2,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2017,5,,-,1,,6,,2,,2,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2017,5,1,,2,,13,,6,,10,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEVADA,2017,5,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,5,,-,0,,3,,,-,6,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VERMONT,2017,5,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,5,,-,1,,4,,5,,2,,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2017,5,,-,1,,6,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,5,4,,6,,19,,22,,17,,1,,1,,6,,5,,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2017,5,,-,9,,19,,12,,44,,,-,2,,7,,3,,5,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,5,,-,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,5,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2017,5,1,,0,,6,,3,,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WYOMING,2017,5,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2017,5,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2017,5,,-,3,,24,,6,,8,,,-,0,,4,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2017,5,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IOWA,2017,5,,-,1,,2,,2,,2,,,-,0,,3,,1,,,-,"IOWA
(42.46942, -93.815856)",
TEXAS,2017,5,2,,4,,16,,11,,10,,,-,2,,16,,6,,9,,"TEXAS
(31.827233, -99.423022)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,3,,1,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IDAHO,2017,5,,-,0,,1,,,-,3,,1,,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2017,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,5,1,,0,,4,,3,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,5,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2017,5,,-,2,,7,,,-,8,,,-,1,,7,,6,,6,,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2017,5,1,,1,,3,,8,,7,,,-,1,,4,,2,,,-,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2017,5,,-,2,,11,,4,,5,,,-,1,,6,,3,,8,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2017,5,,-,3,,7,,2,,4,,,-,1,,4,,5,,7,,"VIRGINIA
(37.542699, -78.45822)",
GEORGIA,2017,5,,-,2,,6,,5,,11,,,-,1,,5,,3,,6,,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2017,5,,-,1,,4,,3,,3,,,-,0,,3,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2017,5,,-,0,,3,,,-,,-,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,5,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,5,1,,0,,2,,3,,3,,,-,0,,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2017,5,,-,4,,17,,5,,19,,,-,1,,5,,,-,3,,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2017,5,,-,0,,2,,,-,3,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2017,5,3,,2,,6,,11,,2,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2017,6,35,,109,,208,,336,,397,,7,,33,,85,,119,,137,,,
NEW ENGLAND,2017,6,1,,4,,21,,10,,14,,,-,2,,7,,4,,15,,,
MID. ATLANTIC,2017,6,15,,20,,64,,87,,96,,2,,8,,24,,35,,33,,,
NEW YORK CITY,2017,6,2,,4,,31,,33,,43,,1,,4,,17,,17,,15,,,
E.N. CENTRAL,2017,6,,-,20,,69,,60,,85,,,-,3,,25,,7,,13,,,
W.N. CENTRAL,2017,6,1,,5,,25,,16,,16,,,-,1,,5,,4,,4,,,
S. ATLANTIC,2017,6,8,,19,,34,,71,,80,,4,,9,,26,,46,,43,,,
E.S. CENTRAL,2017,6,3,,5,,13,,30,,18,,,-,1,,3,,2,,4,,,
W.S. CENTRAL,2017,6,3,,6,,27,,20,,16,,,-,2,,16,,6,,12,,,
MOUNTAIN,2017,6,2,,3,,10,,17,,19,,1,,2,,5,,8,,3,,,
PACIFIC,2017,6,2,,10,,32,,25,,53,,,-,3,,9,,7,,10,,,
AMER. SAMOA,2017,6,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
DELAWARE,2017,6,,-,0,,2,,,-,3,,,-,0,,3,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2017,6,1,,1,,7,,1,,,-,,-,1,,4,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2017,6,,-,2,,11,,4,,7,,,-,1,,6,,3,,9,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2017,6,,-,4,,11,,6,,15,,,-,1,,4,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,6,,-,1,,6,,2,,2,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,6,,-,1,,4,,8,,8,,1,,1,,4,,4,,1,,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2017,6,2,,2,,7,,12,,10,,,-,0,,2,,1,,1,,"TENNESSEE
(35.681402, -85.774444)",
CALIFORNIA,2017,6,1,,9,,25,,20,,50,,,-,2,,7,,5,,7,,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK,2017,6,8,,7,,26,,26,,25,,1,,1,,8,,7,,4,,"NEW YORK
(42.826892, -75.544286)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PENNSYLVANIA,2017,6,5,,6,,19,,28,,19,,,-,1,,6,,5,,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,6,,-,1,,3,,3,,3,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TEXAS,2017,6,2,,4,,16,,13,,11,,,-,2,,16,,6,,10,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2017,6,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2017,6,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,6,5,,6,,13,,39,,29,,,-,1,,4,,4,,5,,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2017,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,6,1,,0,,6,,4,,2,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,6,,-,2,,12,,5,,7,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MICHIGAN,2017,6,,-,3,,24,,6,,11,,,-,0,,4,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,6,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,6,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,6,1,,1,,4,,6,,3,,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2017,6,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,6,,-,1,,4,,3,,3,,,-,0,,3,,1,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2017,6,1,,0,,7,,2,,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2017,6,3,,3,,7,,13,,9,,1,,3,,12,,24,,11,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,6,,-,2,,6,,8,,13,,,-,1,,5,,3,,7,,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,6,,-,0,,3,,2,,,-,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2017,6,,-,1,,2,,4,,2,,,-,0,,3,,1,,1,,"IOWA
(42.46942, -93.815856)",
COLORADO,2017,6,2,,0,,4,,5,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2017,6,,-,0,,3,,,-,1,,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2017,6,,-,2,,7,,,-,9,,,-,1,,7,,6,,7,,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2017,6,1,,2,,13,,9,,11,,,-,0,,3,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST VIRGINIA,2017,6,,-,0,,3,,,-,1,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2017,6,,-,4,,17,,7,,23,,,-,1,,5,,,-,5,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,6,,-,0,,2,,3,,3,,,-,0,,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2017,6,,-,0,,3,,,-,3,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
MAINE,2017,6,,-,0,,2,,,-,4,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2017,6,,-,2,,6,,12,,4,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2017,6,,-,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,6,,-,0,,3,,,-,6,,,-,0,,3,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,6,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,6,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2017,6,,-,3,,8,,2,,7,,3,,1,,4,,10,,7,,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,6,,-,0,,1,,2,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IDAHO,2017,6,,-,0,,1,,,-,3,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KANSAS,2017,6,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,6,,-,1,,11,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW MEXICO,2017,6,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2017,6,,-,8,,32,,42,,38,,,-,1,,13,,5,,4,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,7,35,,110,,208,,400,,450,,18,,34,,85,,143,,155,,,
NEW ENGLAND,2017,7,,-,4,,21,,13,,15,,,-,2,,7,,4,,15,,,
MID. ATLANTIC,2017,7,7,,20,,64,,96,,104,,4,,8,,24,,41,,34,,,
NEW YORK CITY,2017,7,3,,4,,31,,36,,47,,4,,4,,17,,21,,15,,,
E.N. CENTRAL,2017,7,5,,20,,69,,70,,96,,1,,3,,25,,9,,17,,,
W.N. CENTRAL,2017,7,,-,5,,25,,17,,20,,1,,1,,5,,5,,4,,,
S. ATLANTIC,2017,7,13,,19,,35,,92,,96,,12,,9,,26,,58,,50,,,
E.S. CENTRAL,2017,7,3,,5,,13,,35,,22,,,-,1,,3,,2,,6,,,
W.S. CENTRAL,2017,7,3,,6,,27,,25,,18,,,-,2,,17,,8,,13,,,
MOUNTAIN,2017,7,3,,3,,10,,22,,20,,,-,2,,5,,9,,3,,,
PACIFIC,2017,7,1,,10,,32,,30,,59,,,-,3,,9,,7,,13,,,
AMER. SAMOA,2017,7,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
DELAWARE,2017,7,,-,0,,2,,1,,4,,,-,0,,3,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2017,7,1,,0,,20,,1,,1,,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2017,7,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2017,7,,-,2,,7,,,-,9,,,-,1,,7,,6,,7,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,7,,-,4,,11,,7,,17,,,-,1,,4,,1,,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2017,7,,-,2,,13,,9,,13,,1,,0,,3,,2,,,-,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,7,,-,0,,3,,,-,2,,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,7,,-,0,,4,,5,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
KENTUCKY,2017,7,1,,2,,6,,14,,5,,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,7,1,,3,,7,,15,,11,,8,,3,,12,,32,,12,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2017,7,,-,0,,6,,5,,2,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2017,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2017,7,,-,0,,2,,3,,3,,,-,0,,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,7,11,,6,,13,,50,,34,,2,,1,,4,,6,,6,,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,7,,-,1,,4,,7,,3,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
